,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
0,2017-06-23,1406,1218,0.03,6548,Human,Male,Albino,4,"['Front Beard', 'Earring', 'Do-rag', 'Clown Eyes Green']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk6548.png
1,2017-07-03,1218,3828,0.49,6548,Human,Male,Albino,4,"['Front Beard', 'Earring', 'Do-rag', 'Clown Eyes Green']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk6548.png
2,2017-06-23,1406,1218,0.04,5719,Human,Female,Medium,3,"['Welding Goggles', 'Dark Hair', 'Cigarette']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5719.png
3,2019-03-20,920,1472,0.99,5719,Human,Female,Medium,3,"['Welding Goggles', 'Dark Hair', 'Cigarette']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5719.png
4,2017-06-23,1406,2518,0.25,1841,Human,Female,Dark,3,"['Black Lipstick', 'Green Eye Shadow', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1841.png
5,2017-07-08,2518,5223,0.4,1841,Human,Female,Dark,3,"['Black Lipstick', 'Green Eye Shadow', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1841.png
6,2020-08-30,1892,4447,1.2,1841,Human,Female,Dark,3,"['Black Lipstick', 'Green Eye Shadow', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1841.png
7,2017-06-23,1406,1904,0.3,5916,Human,Male,Medium,2,"['VR', 'Mohawk Dark']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5916.png
8,2020-02-16,1904,2128,1.1,5916,Human,Male,Medium,2,"['VR', 'Mohawk Dark']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5916.png
9,2017-06-23,1406,888,0.2,4641,Human,Female,Light,3,"['Purple Eye Shadow', 'Wild Blonde', 'Cigarette']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4641.png
10,2017-06-23,1406,888,0.107,6318,Human,Male,Light,4,"['Eye Mask', 'Earring', 'Mohawk', 'Mole']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk6318.png
11,2017-06-23,1406,2518,0.3,5633,Human,Male,Dark,3,"['Big Shades', 'Shadow Beard', 'Top Hat']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk5633.png
12,2017-07-03,2518,3828,0.3,5633,Human,Male,Dark,3,"['Big Shades', 'Shadow Beard', 'Top Hat']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk5633.png
13,2017-06-23,1406,2518,0.131,8878,Human,Male,Albino,3,"['Cigarette', 'Bandana', 'Normal Beard']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk8878.png
14,2017-07-03,2518,3828,0.3,8878,Human,Male,Albino,3,"['Cigarette', 'Bandana', 'Normal Beard']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk8878.png
15,2017-06-23,1406,1218,0.03,5621,Human,Female,Medium,3,"['Straight Hair Blonde', 'Classic Shades', 'Purple Lipstick']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5621.png
16,2017-07-19,1218,2390,0.59,5621,Human,Female,Medium,3,"['Straight Hair Blonde', 'Classic Shades', 'Purple Lipstick']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5621.png
17,2021-08-28,2390,5123,180.0,5621,Human,Female,Medium,3,"['Straight Hair Blonde', 'Classic Shades', 'Purple Lipstick']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk5621.png
18,2017-06-23,1406,1904,0.09,6934,Human,Male,Medium,3,"['Messy Hair', 'Luxurious Beard', 'Classic Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk6934.png
19,2020-04-28,1532,5138,0.99,6934,Human,Male,Medium,3,"['Messy Hair', 'Luxurious Beard', 'Classic Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk6934.png
20,2017-06-23,1406,1218,0.06,4025,Human,Male,Dark,3,"['Normal Beard', 'Knitted Cap', 'Small Shades']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4025.png
21,2017-06-30,1218,5648,0.19,4025,Human,Male,Dark,3,"['Normal Beard', 'Knitted Cap', 'Small Shades']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4025.png
22,2017-06-23,1406,1218,0.06,5624,Human,Male,Light,3,"['Peak Spike', 'Earring', 'Eye Patch']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk5624.png
23,2017-07-01,1218,5648,0.19,5624,Human,Male,Light,3,"['Peak Spike', 'Earring', 'Eye Patch']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk5624.png
24,2017-06-23,1406,2518,0.2,5545,Human,Female,Albino,5,"['Vape', 'Hot Lipstick', 'Wild Hair', 'Earring', '3D Glasses']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk5545.png
25,2017-07-06,2518,950,0.5,5545,Human,Female,Albino,5,"['Vape', 'Hot Lipstick', 'Wild Hair', 'Earring', '3D Glasses']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk5545.png
26,2017-06-23,1406,1218,0.06,6208,Human,Male,Medium,2,"['Shadow Beard', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk6208.png
27,2017-07-01,1218,5648,0.19,6208,Human,Male,Medium,2,"['Shadow Beard', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk6208.png
28,2017-06-23,166,4722,0.1,5056,Human,Male,Albino,4,"['Beanie', 'Luxurious Beard', 'Earring', 'VR']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk5056.png
29,2017-06-23,1406,166,0.01,3134,Human,Male,Medium,3,"['Gold Chain', 'Crazy Hair', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3134.png
30,2017-06-23,1406,1218,0.116,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
31,2017-06-29,1218,2758,0.19,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
32,2017-07-22,2758,1218,2e-06,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
33,2017-07-26,1218,4540,0.32,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
34,2021-02-22,5368,4040,30.0,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
35,2021-03-14,4040,2052,35.0,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
36,2021-04-09,1354,3964,27.0,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
37,2022-04-15,3301,3007,69.0,8781,Human,Male,Light,4,"['Frown', 'Big Shades', 'Shadow Beard', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
38,2017-06-24,5744,4492,0.335,1050,Human,Female,Medium,0,[''],#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1050.png
39,2017-06-24,2794,1630,0.3,8142,Human,Female,Light,3,"['Green Eye Shadow', 'Mohawk Thin', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8142.png
40,2017-06-24,820,4722,0.15,5167,Human,Female,Light,3,"['Gold Chain', 'Crazy Hair', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk5167.png
41,2017-06-24,820,1406,0.15,9131,Human,Female,Light,3,"['Black Lipstick', 'Crazy Hair', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk9131.png
42,2017-06-24,820,1406,0.15,1216,Human,Male,Light,1,['Purple Hair'],#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk1216.png
43,2017-07-08,1406,4791,0.45,1216,Human,Male,Light,1,['Purple Hair'],#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk1216.png
44,2017-06-24,2794,1406,0.2,4509,Human,Male,Light,2,"['Normal Beard Black', 'Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4509.png
45,2017-06-30,1406,5648,0.18,4509,Human,Male,Light,2,"['Normal Beard Black', 'Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4509.png
46,2017-06-24,2794,1406,0.1,4842,Human,Male,Medium,3,"['Mohawk Thin', 'Earring', 'Smile']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4842.png
47,2017-07-04,1406,4722,0.26,4842,Human,Male,Medium,3,"['Mohawk Thin', 'Earring', 'Smile']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4842.png
48,2021-04-30,824,345,30.0,4842,Human,Male,Medium,3,"['Mohawk Thin', 'Earring', 'Smile']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4842.png
49,2021-05-03,345,2350,34.99,4842,Human,Male,Medium,3,"['Mohawk Thin', 'Earring', 'Smile']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4842.png
50,2017-06-24,4722,1406,0.23,3507,Human,Male,Dark,3,"['Handlebars', 'Do-rag', '3D Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png
51,2017-07-04,1406,3828,0.38,3507,Human,Male,Dark,3,"['Handlebars', 'Do-rag', '3D Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png
52,2021-08-23,5082,345,111.98,3507,Human,Male,Dark,3,"['Handlebars', 'Do-rag', '3D Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png
53,2021-08-23,3828,5082,92.0,3507,Human,Male,Dark,3,"['Handlebars', 'Do-rag', '3D Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png
54,2021-08-28,345,6088,159.99,3507,Human,Male,Dark,3,"['Handlebars', 'Do-rag', '3D Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png
55,2017-06-24,2794,2139,2e-10,1376,Human,Male,Dark,3,"['Messy Hair', 'Luxurious Beard', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1376.png
56,2021-02-27,2139,409,55.0,1376,Human,Male,Dark,3,"['Messy Hair', 'Luxurious Beard', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1376.png
57,2021-06-21,1752,219,17.97,1376,Human,Male,Dark,3,"['Messy Hair', 'Luxurious Beard', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk1376.png
58,2017-06-24,2794,888,2e-10,1657,Human,Male,Medium,2,"['Cap', 'Horned Rim Glasses']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1657.png
