,date,price,bubble_size,bubble_color,from_address,to_address,punk_id,img_url,punk_skin_tone
17,2021-08-28,180.0,3,#dc5d24,\x7132c9f36abe62eab74cdfdd08c154c9ae45691b,\x8f10ae3ffd993bfb0a71e58e1bb606439dd5b301,5621,https://www.larvalabs.com/cryptopunks/cryptopunk5621.png,Medium
34,2021-02-22,30.0,4,#f6773d,\x052564eb0fd8b340803df55def89c25c432f43f4,\xfd6bf7971c58cb92d14d226cb7840b82f585c53c,8781,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png,Light
35,2021-03-14,35.0,4,#f6773d,\xfd6bf7971c58cb92d14d226cb7840b82f585c53c,\x1455f0b4c58906463f87aba9e84f101124926043,8781,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png,Light
36,2021-04-09,27.0,4,#f6773d,\xe907c99288007b394e77267f9b77e1053cd55d29,\x7c0f4b0fc6881c33b5854dac2ec767b87debd078,8781,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png,Light
37,2022-04-15,69.0,4,#f6773d,\x8b6fede39b04c23bfcc7fe74e2680139a68bdbd7,\xccf2075c74de218cdd79b1ef699a2a31e2940f83,8781,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png,Light
48,2021-04-30,30.0,3,#dc5d24,\x5deedc2d76ab76e65a2fe301fb70b1020b0fade9,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,4842,https://www.larvalabs.com/cryptopunks/cryptopunk4842.png,Medium
49,2021-05-03,34.99,3,#dc5d24,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,\x2cb435e6505d0b056a5cc9a0fa34f15d0486366c,4842,https://www.larvalabs.com/cryptopunks/cryptopunk4842.png,Medium
52,2021-08-23,111.98,3,#933e18,\xf3016b7608acfbec9df4ae1ead36bb5f1bad4ff4,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,3507,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png,Dark
53,2021-08-23,92.0,3,#933e18,\x00b278dd68f9d8491795ffaf771120638bef1686,\xf3016b7608acfbec9df4ae1ead36bb5f1bad4ff4,3507,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png,Dark
54,2021-08-28,159.99,3,#933e18,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,\x2f700deed41639e1ae24d193f7d67453c4002ee3,3507,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png,Dark
56,2021-02-27,55.0,3,#933e18,\x007508a6c38bcf12a30728c363968dab1be6384a,\xc77fa6c05b4e472feee7c0f9b20e70c5bf33a99b,1376,https://www.larvalabs.com/cryptopunks/cryptopunk1376.png,Dark
57,2021-06-21,17.97,3,#933e18,\x4d1572ea399cfcb0a4b25b364df2c5ba68697e18,\xcf6f5a68d94165081a634ada997be3a93426c467,1376,https://www.larvalabs.com/cryptopunks/cryptopunk1376.png,Dark
