punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,avg_price,img_url
0,Human,Female,Medium,3,"['Green Eye Shadow', 'Earring', 'Blonde Bob']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk0.png
1,Human,Male,Dark,2,"['Smile', 'Mohawk']",#A4031F,31.0,https://www.larvalabs.com/cryptopunks/cryptopunk1.png
2,Human,Female,Light,1,['Wild Hair'],#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk2.png
3,Human,Male,Dark,3,"['Wild Hair', 'Nerd Glasses', 'Pipe']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk3.png
4,Human,Male,Medium,4,"['Big Shades', 'Wild Hair', 'Earring', 'Goat']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk4.png
5,Human,Female,Medium,3,"['Purple Eye Shadow', 'Half Shaved', 'Earring']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk5.png
6,Human,Male,Medium,1,['Do-rag'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk6.png
7,Human,Female,Medium,3,"['Wild White Hair', 'Spots', 'Clown Eyes Blue']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk7.png
8,Human,Male,Dark,2,"['Messy Hair', 'Luxurious Beard']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk8.png
9,Human,Male,Medium,3,"['Clown Nose', 'Police Cap', 'Big Beard']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk9.png
10,Human,Female,Dark,2,"['Blue Eye Shadow', 'Mohawk']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk10.png
11,Human,Female,Medium,3,"['Black Lipstick', 'Clown Eyes Green', 'Straight Hair Dark']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk11.png
12,Human,Female,Dark,2,"['Blonde Short', 'Purple Lipstick']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk12.png
13,Human,Female,Light,3,"['Big Shades', 'Black Lipstick', 'Straight Hair Blonde']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk13.png
14,Human,Female,Dark,3,"['Pipe', 'Pilot Helmet', 'Hot Lipstick']",#A4031F,1.75,https://www.larvalabs.com/cryptopunks/cryptopunk14.png
15,Human,Male,Albino,3,"['Luxurious Beard', 'Wild Hair', 'Regular Shades']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk15.png
16,Human,Male,Medium,3,"['Stringy Hair', 'Earring', 'Small Shades']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk16.png
17,Human,Male,Light,2,"['Frown', 'Mohawk']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk17.png
18,Human,Male,Medium,2,"['Eye Mask', 'Muttonchops']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk18.png
19,Human,Female,Dark,3,"['Bandana', 'Horned Rim Glasses', 'Hot Lipstick']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk19.png
20,Human,Male,Light,1,['Crazy Hair'],#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk20.png
21,Human,Male,Light,3,"['Messy Hair', 'Classic Shades', 'Earring']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk21.png
22,Human,Female,Dark,2,"['Pilot Helmet', 'Purple Lipstick']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk22.png
23,Human,Male,Light,3,"['Handlebars', 'Earring', 'Do-rag']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk23.png
24,Human,Male,Light,2,"['Smile', 'Mohawk Dark']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk24.png
25,Human,Female,Dark,1,['Wild White Hair'],#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk25.png
26,Human,Female,Medium,1,['Dark Hair'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk26.png
27,Human,Male,Light,2,"['Peak Spike', 'Earring']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk27.png
28,Human,Male,Dark,2,"['Big Shades', 'Crazy Hair']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk28.png
29,Human,Female,Medium,3,"['Horned Rim Glasses', 'Half Shaved', 'Earring']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk29.png
30,Human,Male,Dark,2,"['Normal Beard Black', 'Cap']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk30.png
