trader_id,address,tx_involved
10,\x7f314be00306b7ce9b186f437574e52b5dfb384c,"[16345, 15963]"
12,\x92cfc1c067ec6259b9019ce897d9035a01b1b750,[16041]
24,\x8c34d78eb8c00bc9d9b1ecd9c6e822ac56e03d40,[15661]
47,\xb17cf8ef22a650b6de374a14fb1cabda635fdd8b,[15835]
52,\x534a0076fb7c2b1f83fa21497429ad7ad3bd7587,[16495]
58,\x1f9e29ce5ba813ec9f11637e4ce5a73e1a7c2833,[15798]
60,\xca9343bfefdcec503cad1062c9fea51efb3f4b9f,[15762]
64,\x7fb715b3b623e75ccba2dbd7f3d2d098115a8c06,[16780]
69,\xcac0805490a49fe64e643eacf5c96fa6d1883cd5,[15417]
71,\xf857935c5802f1e0aeda660d8b0132ea1b9709a4,[16429]
76,\x50664ede715e131f584d3e7eaabd7818bb20a068,"[15858, 15711, 15663]"
80,\x54b174179ae825ed630da40b625bb3c883cd40ae,"[15848, 16105, 15914, 15883, 16011, 15470, 15951, 16055]"
86,\x527b696dffb8064cb28fdddd9490c9ded35d1ba0,[16744]
87,\xed5960a454782c4c9c62aae6e22a8a50c185e50f,[16721]
89,\xaf6ce687ec4575b42a38c7e28445efcbfd8046bf,[16437]
91,\xad4d70479cf926122ee41eca5db4e2775554dea0,[16265]
94,\x273c25abd33eca095e228fde0f15e8f7ec4eb4d9,[15413]
122,\x2b0386bbdd314d8356c21f39be2491f975bd6361,[16693]
130,\x91338ccfb8c0adb7756034a82008531d7713009d,"[15875, 16146, 15508, 15893, 15509, 15636, 15897, 15514, 15898, 16027, 16409, 15646, 15519, 15770, 16417, 15906, 16418, 15771, 15919, 15539, 15667, 15541, 15926, 15928, 16185, 15806, 16065, 16328, 15817, 16203, 15821, 15823, 15824, 15825, 15827, 15708, 16733, 15842, 15972, 16357, 15590, 16230, 16105, 15724, 15984, 15985, 15732, 15861, 16118, 15864, 15865, 15866, 15867]"
138,\xee075d16773517479f0ddba8cbc974ae4e1e205c,[15806]
141,\x6ec30fd91a504aad948839b985c7263888b2ad68,"[15552, 15941]"
142,\x6671d4efc8729851af91f7db9035b0cac1450000,[16548]
144,\xd1c44141ef925d5a02e5414f3e1755ff89243ebd,"[15489, 16585]"
145,\xd0926418bee6525b12c0546649b5f0df55938dad,[16249]
146,\xc9d483b27701a1299c09872b813bf9cb8251475a,[15782]
