tx_id,date_time,from,to,eth_price,punk_id,punk_skin_tone,punk_skin_tone_color
0,2017-06-23 21:06:32,906,8,0.01,3134,Medium,#DB9065
1,2017-06-23 21:06:45,906,4356,0.04,5719,Medium,#DB9065
2,2017-06-23 21:06:53,8,5234,0.1,5056,Albino,#F2DC5D
3,2017-06-23 22:06:08,906,4356,0.06,5624,Light,#F2A359
4,2017-06-23 22:06:12,906,4356,0.03,6548,Albino,#F2DC5D
5,2017-06-23 22:06:12,906,514,0.2,5545,Albino,#F2DC5D
6,2017-06-23 22:06:13,906,4356,0.06,4025,Dark,#A4031F
7,2017-06-23 22:06:22,906,4356,0.116,8781,Light,#F2A359
8,2017-06-23 22:06:28,906,514,0.131,8878,Albino,#F2DC5D
9,2017-06-23 22:06:44,906,4227,0.09,6934,Medium,#DB9065
10,2017-06-23 22:06:53,906,4356,0.03,5621,Medium,#DB9065
11,2017-06-23 22:06:58,906,4356,0.06,6208,Medium,#DB9065
12,2017-06-23 23:06:04,906,514,0.25,1841,Dark,#A4031F
13,2017-06-23 23:06:08,906,4162,0.107,6318,Light,#F2A359
14,2017-06-23 23:06:25,906,4227,0.3,5916,Medium,#DB9065
15,2017-06-23 23:06:47,906,4162,0.2,4641,Light,#F2A359
16,2017-06-23 23:06:56,906,514,0.3,5633,Dark,#A4031F
17,2017-06-24 01:06:01,906,2231,0.3,4148,Dark,#A4031F
18,2017-06-24 01:06:01,906,4227,0.3,1416,Light,#F2A359
19,2017-06-24 01:06:38,511,4227,0.001,9926,Medium,#DB9065
20,2017-06-24 02:06:08,906,2231,0.36,5921,Light,#F2A359
21,2017-06-24 02:06:48,906,4227,0.35,4445,Light,#F2A359
22,2017-06-24 10:06:15,1814,4923,0.5,5138,Medium,#DB9065
23,2017-06-24 16:06:04,324,906,0.15,9963,Albino,#F2DC5D
24,2017-06-24 16:06:11,2185,1278,2e-10,1376,Dark,#A4031F
25,2017-06-24 16:06:25,2185,906,0.1,4842,Medium,#DB9065
26,2017-06-24 16:06:26,5234,906,0.23,3507,Dark,#A4031F
27,2017-06-24 16:06:35,2185,906,0.2,4509,Light,#F2A359
28,2017-06-24 16:06:46,2185,4162,2e-10,1657,Medium,#DB9065
29,2017-06-24 17:06:04,324,906,0.15,9131,Light,#F2A359
30,2017-06-24 17:06:04,324,906,0.15,1216,Light,#F2A359
31,2017-06-24 21:06:27,324,5234,0.15,5167,Light,#F2A359
32,2017-06-24 22:06:13,2185,4923,0.3,8142,Light,#F2A359
33,2017-06-24 22:06:52,5179,1655,0.335,1050,Medium,#DB9065
34,2017-06-25 04:06:02,3369,4724,0.135,9439,Light,#F2A359
35,2017-06-25 05:06:09,2347,4724,0.1,2997,Dark,#A4031F
36,2017-06-25 05:06:53,4709,4227,0.15,3614,Medium,#DB9065
37,2017-06-25 05:06:53,4709,3369,0.2117401785132582,2789,Light,#F2A359
38,2017-06-25 06:06:05,2347,4227,0.1,4468,Medium,#DB9065
39,2017-06-25 06:06:06,2347,4227,0.1,6315,Light,#F2A359
40,2017-06-25 06:06:27,2347,4227,0.1,6140,Dark,#A4031F
41,2017-06-25 07:06:24,4227,4501,0.2,4468,Medium,#DB9065
42,2017-06-25 08:06:04,2347,4624,0.1,8037,Medium,#DB9065
43,2017-06-25 09:06:27,3369,4624,0.15,1036,Light,#F2A359
44,2017-06-25 09:06:44,4227,4624,0.2,6315,Light,#F2A359
45,2017-06-25 19:06:56,2347,5389,0.2,2614,Dark,#A4031F
46,2017-06-26 08:06:26,5142,4624,0.18,5141,Light,#F2A359
47,2017-06-26 14:06:25,2347,5833,0.2,5715,Medium,#DB9065
48,2017-06-26 18:06:43,4405,4356,1e-06,5104,Light,#F2A359
49,2017-06-26 21:06:25,4696,2773,0.3,2883,Dark,#A4031F
50,2017-06-26 22:06:15,3369,4356,0.14,1054,Light,#F2A359
51,2017-06-27 00:06:33,2347,3277,0.2,9874,Medium,#DB9065
52,2017-06-27 01:06:03,2347,2049,0.3,6687,Albino,#F2DC5D
53,2017-06-27 01:06:13,1809,2049,0.2,6549,Dark,#A4031F
54,2017-06-27 01:06:26,1814,2049,0.5,8521,Medium,#DB9065
55,2017-06-27 01:06:35,77,2049,0.29,7735,Dark,#A4031F
56,2017-06-27 11:06:04,324,1640,0.25,7223,Light,#F2A359
57,2017-06-27 11:06:12,2347,1640,0.2,7197,Dark,#A4031F
58,2017-06-27 11:06:29,906,1640,0.3,4547,Light,#F2A359
59,2017-06-27 11:06:35,4251,1640,0.25,8517,Light,#F2A359
60,2017-06-27 13:06:02,4809,4356,1e-18,1784,Light,#F2A359
61,2017-06-27 14:06:39,1133,4356,0.15,1257,Dark,#A4031F
62,2017-06-27 15:06:11,4754,2773,1.0,1802,Light,#F2A359
63,2017-06-27 15:06:15,324,2773,0.25,7982,Dark,#A4031F
64,2017-06-27 15:06:24,1133,2773,0.15,1146,Light,#F2A359
65,2017-06-27 15:06:54,836,2773,1.0,4379,Medium,#DB9065
66,2017-06-27 16:06:18,906,4356,0.3,4971,Dark,#A4031F
67,2017-06-27 16:06:32,8,4356,0.3,861,Dark,#A4031F
68,2017-06-27 19:06:14,1133,906,0.15,3530,Light,#F2A359
69,2017-06-27 19:06:16,1133,906,0.15,3544,Albino,#F2DC5D
70,2017-06-27 19:06:51,1133,906,0.15,1160,Dark,#A4031F
71,2017-06-27 21:06:53,5122,906,0.1,6642,Dark,#A4031F
72,2017-06-27 22:06:22,5122,906,0.1,2624,Light,#F2A359
73,2017-06-27 23:06:58,906,3369,0.15303788420300216,2624,Light,#F2A359
74,2017-06-28 03:06:04,324,3369,0.10093947217441193,8523,Light,#F2A359
75,2017-06-28 04:06:06,4983,906,0.03,9571,Dark,#A4031F
76,2017-06-28 04:06:28,4983,906,0.05,5880,Light,#F2A359
77,2017-06-28 04:06:31,4983,906,0.05,3226,Medium,#DB9065
78,2017-06-28 11:06:20,324,4356,0.1,8527,Light,#F2A359
79,2017-06-28 12:06:13,324,4356,0.1,8526,Light,#F2A359
80,2017-06-28 12:06:13,324,4356,0.1,3257,Light,#F2A359
81,2017-06-28 12:06:54,324,4356,0.25,5734,Light,#F2A359
82,2017-06-29 10:06:23,1133,2185,0.084,1385,Light,#F2A359
83,2017-06-29 10:06:29,1133,2185,0.079,1430,Dark,#A4031F
84,2017-06-29 10:06:47,1133,2185,0.084,1338,Dark,#A4031F
85,2017-06-29 11:06:29,1133,2185,0.084,1387,Light,#F2A359
86,2017-06-29 11:06:45,1133,2185,0.08,1324,Medium,#DB9065
87,2017-06-29 14:06:06,4983,906,0.06,1610,Dark,#A4031F
88,2017-06-29 14:06:27,1133,906,0.0999,1396,Medium,#DB9065
89,2017-06-29 15:06:10,4983,4356,0.08,8954,Medium,#DB9065
90,2017-06-29 15:06:39,1133,3369,0.0844259038537942,1397,Dark,#A4031F
91,2017-06-29 15:06:43,4983,4356,0.12,9371,Light,#F2A359
92,2017-06-29 15:06:43,4983,906,0.1,8432,Medium,#DB9065
93,2017-06-29 16:06:04,906,2185,0.13,8673,Medium,#DB9065
94,2017-06-29 16:06:07,2185,8,0.2,2897,Dark,#A4031F
95,2017-06-29 16:06:11,4983,5234,0.15,2916,Dark,#A4031F
96,2017-06-29 16:06:19,4983,906,0.08,1592,Light,#F2A359
97,2017-06-29 16:06:19,4983,5234,0.12,4969,Medium,#DB9065
98,2017-06-29 16:06:24,906,5234,0.15,3544,Albino,#F2DC5D
99,2017-06-29 16:06:25,4983,8,0.12,2574,Dark,#A4031F
100,2017-06-29 16:06:28,906,5234,0.16,3413,Medium,#DB9065
101,2017-06-29 16:06:59,1133,906,0.08,1401,Dark,#A4031F
102,2017-06-29 17:06:55,5179,1989,0.5,8967,Albino,#F2DC5D
