tx_id,date_time,from,to,eth_price,punk_id,punk_skin_tone,punk_skin_tone_color
4940,2021-01-01 11:01:00,3610,1612,88.55,9368,Non-human,#8DFFCD
4941,2021-01-01 17:01:49,313,2036,11.44,4444,Dark,#A4031F
4942,2021-01-02 02:01:42,1122,1268,5.47,9340,Light,#F2A359
4943,2021-01-02 17:01:12,3421,4400,5.45,4861,Light,#F2A359
4944,2021-01-02 18:01:37,284,5818,5.3,9683,Dark,#A4031F
4945,2021-01-02 21:01:02,1022,4257,4.9,1743,Light,#F2A359
4946,2021-01-02 21:01:18,3844,4257,4.97,3410,Light,#F2A359
4947,2021-01-03 08:01:44,5818,3279,12.9,9683,Dark,#A4031F
4948,2021-01-03 11:01:15,4039,4081,4.99,5544,Dark,#A4031F
4949,2021-01-03 17:01:45,2106,1022,7.5,4452,Dark,#A4031F
4950,2021-01-03 18:01:55,5171,3314,5.5,5287,Medium,#DB9065
4951,2021-01-04 16:01:28,1097,700,4.69,8751,Dark,#A4031F
4952,2021-01-04 23:01:25,5022,93,7.5,9167,Dark,#A4031F
4953,2021-01-04 23:01:37,5022,141,4.99,7752,Light,#F2A359
4954,2021-01-04 23:01:54,5022,4620,7.89,7501,Albino,#F2DC5D
4955,2021-01-04 23:01:55,5022,4928,12.5,8639,Medium,#DB9065
4956,2021-01-05 00:01:01,5497,1436,4.98,5198,Dark,#A4031F
4957,2021-01-05 00:01:59,5022,3314,8.5,6612,Dark,#A4031F
4958,2021-01-05 11:01:38,5022,2123,18.0,7888,Light,#F2A359
4959,2021-01-05 11:01:47,5022,1179,8.5,8767,Light,#F2A359
4960,2021-01-05 12:01:37,3858,622,5.04,9720,Dark,#A4031F
4961,2021-01-05 13:01:41,4338,4700,6.5,2928,Light,#F2A359
4962,2021-01-05 15:01:40,3565,1496,4.6,8436,Dark,#A4031F
4963,2021-01-05 17:01:07,5171,5807,4.8,5226,Light,#F2A359
4964,2021-01-05 19:01:06,3858,4039,4.61,3418,Medium,#DB9065
4965,2021-01-05 19:01:25,5171,3118,4.65,5065,Medium,#DB9065
4966,2021-01-05 21:01:06,5232,3078,4.99,9675,Medium,#DB9065
4967,2021-01-05 22:01:07,3548,93,6.25,8635,Medium,#DB9065
4968,2021-01-05 23:01:16,460,5650,5.3,2156,Light,#F2A359
4969,2021-01-06 05:01:02,3324,1288,5.0,9117,Light,#F2A359
4970,2021-01-06 05:01:56,700,1288,5.0,8751,Dark,#A4031F
4971,2021-01-06 08:01:13,5022,3149,10.0,9974,Medium,#DB9065
4972,2021-01-06 15:01:20,1568,1288,6.0,3914,Dark,#A4031F
4973,2021-01-06 18:01:31,3858,4257,4.99,9448,Dark,#A4031F
4974,2021-01-06 18:01:31,3002,4257,4.65,5733,Dark,#A4031F
4975,2021-01-06 18:01:31,1097,4257,4.59,9140,Dark,#A4031F
4976,2021-01-06 18:01:31,4039,4257,4.89,3418,Medium,#DB9065
4977,2021-01-06 19:01:09,1568,5509,5.0,5078,Medium,#DB9065
4978,2021-01-06 21:01:13,5022,1288,49.99,7846,Light,#F2A359
4979,2021-01-06 21:01:24,8,2123,25.0,168,Light,#F2A359
4980,2021-01-06 21:01:50,5171,2740,4.65,6090,Light,#F2A359
4981,2021-01-06 22:01:22,5022,2434,5.1,6124,Light,#F2A359
4982,2021-01-07 01:01:33,141,4865,28.0,7563,Medium,#DB9065
4983,2021-01-07 03:01:39,3806,3279,7.65,6788,Dark,#A4031F
4984,2021-01-07 04:01:11,1569,1288,9.99,5913,Albino,#F2DC5D
4985,2021-01-07 04:01:16,3806,1288,7.65,4633,Dark,#A4031F
4986,2021-01-07 04:01:51,1569,1288,9.99,1127,Dark,#A4031F
4987,2021-01-07 05:01:58,5037,3279,5.9,6863,Light,#F2A359
4988,2021-01-07 11:01:29,967,3424,6.5,4767,Dark,#A4031F
4989,2021-01-07 15:01:35,5467,973,0.0,3107,Dark,#A4031F
4990,2021-01-07 18:01:44,2953,1288,5.8,8747,Medium,#DB9065
4991,2021-01-07 19:01:18,2716,4998,4.5,8215,Light,#F2A359
4992,2021-01-07 20:01:00,5242,5398,18.0,9052,Medium,#DB9065
4993,2021-01-07 20:01:28,771,3875,6.5,8803,Medium,#DB9065
4994,2021-01-08 00:01:28,3897,2081,4.69,4998,Dark,#A4031F
4995,2021-01-08 04:01:13,5022,293,5.1,6129,Medium,#DB9065
4996,2021-01-08 05:01:31,4039,4160,6.99,8743,Medium,#DB9065
4997,2021-01-08 06:01:54,906,1366,6.27,1160,Dark,#A4031F
4998,2021-01-08 16:01:20,1097,1288,4.65,8544,Light,#F2A359
4999,2021-01-08 16:01:46,1110,2986,4.75,9155,Light,#F2A359
5000,2021-01-08 17:01:02,5037,1496,4.5,4035,Medium,#DB9065
5001,2021-01-08 18:01:18,141,5686,5.49,1640,Medium,#DB9065
5002,2021-01-08 18:01:43,5022,2949,5.1,7344,Medium,#DB9065
5003,2021-01-09 04:01:43,932,4519,4.88,3054,Medium,#DB9065
5004,2021-01-09 17:01:22,5022,4095,5.5,8043,Light,#F2A359
5005,2021-01-09 21:01:57,2137,73,4.6,5909,Dark,#A4031F
5006,2021-01-10 01:01:40,3806,5669,16.0,4639,Light,#F2A359
5007,2021-01-10 02:01:42,3806,1288,11.0,6613,Light,#F2A359
5008,2021-01-10 04:01:36,3806,1288,30.0,8146,Medium,#DB9065
5009,2021-01-10 08:01:09,523,2053,5.0,8046,Light,#F2A359
5010,2021-01-10 10:01:10,941,5807,10.25,6816,Medium,#DB9065
5011,2021-01-10 10:01:46,5650,5807,6.99,6150,Medium,#DB9065
5012,2021-01-10 18:01:07,5509,4091,4.5,8488,Medium,#DB9065
5013,2021-01-10 18:01:08,1569,4091,4.25,2410,Medium,#DB9065
5014,2021-01-10 18:01:19,4039,4091,4.29,1833,Dark,#A4031F
5015,2021-01-10 18:01:28,4039,4091,4.49,2320,Medium,#DB9065
5016,2021-01-10 19:01:05,2111,4668,5.9,9152,Light,#F2A359
5017,2021-01-10 19:01:09,3806,141,33.99,3106,Dark,#A4031F
5018,2021-01-10 19:01:56,5022,4095,4.8,8641,Albino,#F2DC5D
5019,2021-01-10 20:01:41,3002,5448,4.6,3080,Light,#F2A359
5020,2021-01-10 22:01:44,5060,827,5.0,4051,Medium,#DB9065
5021,2021-01-10 22:01:45,3806,3962,6.99,9722,Medium,#DB9065
5022,2021-01-10 23:01:56,3002,3279,4.5,2856,Medium,#DB9065
5023,2021-01-11 06:01:06,3858,4216,4.59,5021,Dark,#A4031F
5024,2021-01-11 13:01:46,3002,4095,4.5,5558,Medium,#DB9065
5025,2021-01-11 13:01:50,2137,4095,4.6,8518,Dark,#A4031F
5026,2021-01-11 14:01:23,906,1288,15.9,6332,Dark,#A4031F
5027,2021-01-11 14:01:43,4620,4306,9.2,7501,Albino,#F2DC5D
5028,2021-01-11 15:01:52,5497,4150,4.75,7271,Light,#F2A359
5029,2021-01-11 19:01:25,967,4075,4.99,5480,Medium,#DB9065
5030,2021-01-11 20:01:56,1894,3719,5.0,5912,Dark,#A4031F
5031,2021-01-11 21:01:04,3002,4091,4.7,2378,Light,#F2A359
5032,2021-01-11 21:01:04,5262,4091,4.88,5122,Dark,#A4031F
5033,2021-01-11 21:01:34,95,475,5.0,1241,Albino,#F2DC5D
5034,2021-01-11 22:01:54,4377,1288,5.75,4707,Dark,#A4031F
5035,2021-01-12 01:01:06,3057,2868,4.9,9132,Dark,#A4031F
5036,2021-01-12 03:01:17,4377,5818,6.25,4794,Albino,#F2DC5D
5037,2021-01-12 05:01:25,3002,3303,4.85,2929,Medium,#DB9065
5038,2021-01-12 09:01:15,93,4306,6.95,8635,Medium,#DB9065
5039,2021-01-12 16:01:32,3002,1122,4.89,6160,Light,#F2A359
5040,2021-01-12 17:01:05,2137,4091,4.9,7718,Light,#F2A359
5041,2021-01-12 19:01:04,1569,4306,12.0,2887,Medium,#DB9065
5042,2021-01-12 19:01:15,95,4095,5.0,1502,Light,#F2A359
5043,2021-01-12 19:01:55,4377,4306,5.25,4792,Medium,#DB9065
5044,2021-01-12 19:01:58,535,4095,5.55,9030,Dark,#A4031F
5045,2021-01-12 20:01:44,5232,4095,5.45,5732,Albino,#F2DC5D
5046,2021-01-12 21:01:40,77,4095,5.99,6821,Medium,#DB9065
5047,2021-01-12 21:01:44,2282,4095,4.98,6824,Light,#F2A359
5048,2021-01-12 21:01:44,4377,4095,5.75,4784,Medium,#DB9065
5049,2021-01-13 00:01:26,5242,4095,5.97,5461,Light,#F2A359
5050,2021-01-13 00:01:53,2282,4095,4.99,5222,Dark,#A4031F
5051,2021-01-13 01:01:49,1569,4377,6.66,9447,Light,#F2A359
