,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1523260465199026176,https://twitter.com/10eyes2/status/1523260465199026176,2022-05-08 11:16:10+00:00,"#NFT #NFTs #NFTCollection #NFTartist #NFTGiveaway
Alien geno is stranger creature, he doesn't like talk too much, he can change eye and skin color.
Have black sesne of humor and love everything and everyone
https://t.co/CPlIEGIHou",10eyes2,1,0,4,,
1,1523216436050595841,https://twitter.com/__adraw/status/1523216436050595841,2022-05-08 08:21:13+00:00,"Hi,Her Worlds collection presents the cute NFT art.
Her name is Mocca Toffee.
skin color: 👋🏻Rosepink
Eyes color: 👁Purple
Hair color: 👩🏻‍🦳Purple
Career:💰Coach
Skill: ⚔️ Tennis great
Favorite food: 🥗 Salad
Dream:🎯 Open tennis school.
Pet : -
#NFTCommumity #women #nft https://t.co/l5aVSOhaZF",__adraw,2,0,4,,
2,1523152686031417344,https://twitter.com/__adraw/status/1523152686031417344,2022-05-08 04:07:53+00:00,"Hi,Her Worlds collection presents the cute NFT art.
Her name is Reemei Cocoa
skin color: 👋🏻 Burnt Sienna
Eyes color: 👁Brown
Hair color: 👩🏻‍🦳Harvest Gold
Career:💰Rider
Skill: ⚔️ Excellent Visual Sense
Favorite food: 🥗Hotdog
Dream:🎯 Winner in MotoGP 2023
Pet:-
#NFTCommumity #nft https://t.co/xyz0qQ2Z15",__adraw,4,0,5,,
3,1523130811263774720,https://twitter.com/__adraw/status/1523130811263774720,2022-05-08 02:40:58+00:00,"Hi,Her Worlds collection presents the cute NFT art.
Her name is Muze Yogurt.
skin color: 👋🏻Rosepink
Eyes color: 👁Aqua
Hair color: 👩🏻‍🦳Aqua
Career:💰Cat sitter.
Skill: ⚔️ Can call cats
Favorite food: 🥗Coconut yogurt
Dream:🎯 Buy an island for 1000 cats.
Pet 🐱Creamy
#NFTCommumity https://t.co/v6vX10sKap",__adraw,2,0,2,,
4,1523059221582991360,https://twitter.com/rennesis/status/1523059221582991360,2022-05-07 21:56:30+00:00,@Son0fThor @psychedelic_nft @BAYC2745 This skin color is sooo dope,rennesis,0,0,1,,"[User(username='Son0fThor', id=1197994087, displayname='Son0fThor', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='psychedelic_nft', id=1434729911390855171, displayname='Psychedelics Anonymous', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BAYC2745', id=1202724401528987648, displayname='voltura.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,1522667133196451840,https://twitter.com/rafplayz/status/1522667133196451840,2022-05-06 19:58:28+00:00,"imagine being an nft owner

“yeah dude i own #5773 which one do you own?”
“i own the one with the piss yellow skin color”",rafplayz,0,0,4,,
6,1522637777208193024,https://twitter.com/AngelaK35986267/status/1522637777208193024,2022-05-06 18:01:49+00:00,"All of the darlings are created by a randomization program. The program mixes and matches all of the features, like skin color, eyes, clothes, etc., to create unique ladies. So exciting to see them come to life!
.
.
#WomenInNFTs #NFT https://t.co/HiBgOsNrHv",AngelaK35986267,1,1,5,,
7,1522605124480380929,https://twitter.com/art_malceva/status/1522605124480380929,2022-05-06 15:52:04+00:00,"My NFT girls♥️
For me, this is an important project. I am for the world of free, happy women. It doesn't matter what your skin color, hairstyle and body. It is important to feel beautiful and unique.
#NFTCommunity #femeleart #WomenInCrypto #WomenInNFT

https://t.co/GAEk4YOzqZ https://t.co/UMxqWTKBoN",art_malceva,0,0,9,,
8,1522521821815394304,https://twitter.com/nakedgoldonline/status/1522521821815394304,2022-05-06 10:21:04+00:00,"The Commodification of Color: Series Introduction 
Is now available for view.
A research series on skin color + its commodity value. Join me in the conversation. #NakedGold #NFT https://t.co/2Sf8Mnk3qP",nakedgoldonline,0,1,1,,
9,1522012711571263488,https://twitter.com/coin_nk914/status/1522012711571263488,2022-05-05 00:38:02+00:00,"I'm testing another skin color.

#NFTCommunity #NFT #NFTCollection #ETH #nftart #openseaNFT  #opensea #voxelarts #voxedit https://t.co/gb3mcOWb5w",coin_nk914,0,0,15,,
10,1521912850649956353,https://twitter.com/CryptoPunksMom/status/1521912850649956353,2022-05-04 18:01:14+00:00,"To celebrate Mother's Day we are going to create #Punk versions of our mothers.

You can choose from hundreds of different features like skin color, hair, mouth, etc.

And at the end you can also put your mother's name as the main name of the #NFT you created.

For The Culture ❤️ https://t.co/GX3kVeBQaI",CryptoPunksMom,0,0,32,,
11,1521221739501346816,https://twitter.com/EPC_NFT/status/1521221739501346816,2022-05-02 20:15:00+00:00,"⚡️Shockingly another coach finally felt it was time to reveal his ""Electric Turquoise"" features.⚡️
You may have seen his suit before, but this skin color with it is in a league of its own.

Check out the Discord in bio &amp; all the Socials to see the future of EPC.
#CRO #crofam #NFT https://t.co/7hgKt1lGSL",EPC_NFT,1,1,7,,
