punk_id,type,gender,skin_tone,count,accessories,img_dir
0, Human, Female, Medium,3, Green Eye Shadow / Earring / Blonde Bob,./imgs/0.png
1, Human, Male, Dark,2, Smile / Mohawk,./imgs/1.png
2, Human, Female, Light,1, Wild Hair,./imgs/2.png
3, Human, Male, Dark,3, Wild Hair / Nerd Glasses / Pipe,./imgs/3.png
4, Human, Male, Medium,4, Big Shades / Wild Hair / Earring / Goat,./imgs/4.png
5, Human, Female, Medium,3, Purple Eye Shadow / Half Shaved / Earring,./imgs/5.png
6, Human, Male, Medium,1, Do-rag,./imgs/6.png
7, Human, Female, Medium,3, Wild White Hair / Spots / Clown Eyes Blue,./imgs/7.png
8, Human, Male, Dark,2, Messy Hair / Luxurious Beard,./imgs/8.png
9, Human, Male, Medium,3, Clown Nose / Police Cap / Big Beard,./imgs/9.png
10, Human, Female, Dark,2, Blue Eye Shadow / Mohawk,./imgs/10.png
11, Human, Female, Medium,3, Black Lipstick / Clown Eyes Green / Straight Hair Dark,./imgs/11.png
12, Human, Female, Dark,2, Blonde Short / Purple Lipstick,./imgs/12.png
13, Human, Female, Light,3, Big Shades / Black Lipstick / Straight Hair Blonde,./imgs/13.png
14, Human, Female, Dark,3, Pipe / Pilot Helmet / Hot Lipstick,./imgs/14.png
15, Human, Male, Albino,3, Luxurious Beard / Wild Hair / Regular Shades,./imgs/15.png
16, Human, Male, Medium,3, Stringy Hair / Earring / Small Shades,./imgs/16.png
17, Human, Male, Light,2, Frown / Mohawk,./imgs/17.png
18, Human, Male, Medium,2, Eye Mask / Muttonchops,./imgs/18.png
19, Human, Female, Dark,3, Bandana / Horned Rim Glasses / Hot Lipstick,./imgs/19.png
20, Human, Male, Light,1, Crazy Hair,./imgs/20.png
21, Human, Male, Light,3, Messy Hair / Classic Shades / Earring,./imgs/21.png
22, Human, Female, Dark,2, Pilot Helmet / Purple Lipstick,./imgs/22.png
23, Human, Male, Light,3, Handlebars / Earring / Do-rag,./imgs/23.png
24, Human, Male, Light,2, Smile / Mohawk Dark,./imgs/24.png
25, Human, Female, Dark,1, Wild White Hair,./imgs/25.png
26, Human, Female, Medium,1, Dark Hair,./imgs/26.png
27, Human, Male, Light,2, Peak Spike / Earring,./imgs/27.png
28, Human, Male, Dark,2, Big Shades / Crazy Hair,./imgs/28.png
29, Human, Female, Medium,3, Horned Rim Glasses / Half Shaved / Earring,./imgs/29.png
30, Human, Male, Dark,2, Normal Beard Black / Cap,./imgs/30.png
31, Human, Female, Dark,1, Stringy Hair,./imgs/31.png
32, Human, Male, Light,2, Frown / VR,./imgs/32.png
33, Human, Male, Light,1, Peak Spike,./imgs/33.png
34, Human, Female, Light,2, Frumpy Hair / Purple Lipstick,./imgs/34.png
35, Human, Male, Dark,5, Cigarette / Peak Spike / Earring / Horned Rim Glasses / Normal Beard,./imgs/35.png
36, Human, Female, Medium,1, Red Mohawk,./imgs/36.png
37, Human, Female, Dark,2, Cap / Clown Eyes Blue,./imgs/37.png
38, Human, Female, Light,3, Frumpy Hair / Classic Shades / Purple Lipstick,./imgs/38.png
39, Human, Male, Light,3, Frown / Shaved Head / Regular Shades,./imgs/39.png
40, Human, Male, Light,3, Bandana / Chinstrap / Smile,./imgs/40.png
41, Human, Male, Dark,3, Muttonchops / Wild Hair / Clown Eyes Green,./imgs/41.png
42, Human, Female, Dark,2, Wild Hair / Cigarette,./imgs/42.png
43, Human, Female, Medium,1, Half Shaved,./imgs/43.png
44, Human, Male, Light,1, Messy Hair,./imgs/44.png
45, Human, Male, Medium,2, Earring / Mole,./imgs/45.png
46, Human, Female, Medium,2, Purple Lipstick / Straight Hair Dark,./imgs/46.png
47, Human, Male, Dark,1, Knitted Cap,./imgs/47.png
48, Human, Male, Light,2, Big Shades / Mohawk,./imgs/48.png
49, Human, Female, Dark,2, Bandana / Purple Eye Shadow,./imgs/49.png
50, Human, Male, Medium,2, Spots / Fedora,./imgs/50.png
51, Human, Male, Medium,3, Muttonchops / Wild Hair / Earring,./imgs/51.png
52, Human, Male, Dark,4, Shadow Beard / Earring / Nerd Glasses / Knitted Cap,./imgs/52.png
53, Human, Female, Light,2, Big Shades / Straight Hair,./imgs/53.png
54, Human, Male, Dark,1, Hoodie,./imgs/54.png
55, Human, Male, Light,1, Eye Patch,./imgs/55.png
56, Human, Male, Dark,1, Shaved Head,./imgs/56.png
57, Human, Male, Light,1, Headband,./imgs/57.png
