punk_id,type,gender,skin_tone,attr_count,attributes,img_dir,avg_price,img_url
0,Human,Female,Medium,3,"['Green Eye Shadow', 'Earring', 'Blonde Bob']",../punk_imgs/0.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk0.png
1,Human,Male,Dark,2,"['Smile', 'Mohawk']",../punk_imgs/1.png,31.0,https://www.larvalabs.com/cryptopunks/cryptopunk1.png
2,Human,Female,Light,1,['Wild Hair'],../punk_imgs/2.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk2.png
3,Human,Male,Dark,3,"['Wild Hair', 'Nerd Glasses', 'Pipe']",../punk_imgs/3.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk3.png
4,Human,Male,Medium,4,"['Big Shades', 'Wild Hair', 'Earring', 'Goat']",../punk_imgs/4.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk4.png
5,Human,Female,Medium,3,"['Purple Eye Shadow', 'Half Shaved', 'Earring']",../punk_imgs/5.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk5.png
6,Human,Male,Medium,1,['Do-rag'],../punk_imgs/6.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk6.png
7,Human,Female,Medium,3,"['Wild White Hair', 'Spots', 'Clown Eyes Blue']",../punk_imgs/7.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk7.png
8,Human,Male,Dark,2,"['Messy Hair', 'Luxurious Beard']",../punk_imgs/8.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk8.png
9,Human,Male,Medium,3,"['Clown Nose', 'Police Cap', 'Big Beard']",../punk_imgs/9.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk9.png
10,Human,Female,Dark,2,"['Blue Eye Shadow', 'Mohawk']",../punk_imgs/10.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk10.png
11,Human,Female,Medium,3,"['Black Lipstick', 'Clown Eyes Green', 'Straight Hair Dark']",../punk_imgs/11.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk11.png
12,Human,Female,Dark,2,"['Blonde Short', 'Purple Lipstick']",../punk_imgs/12.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk12.png
13,Human,Female,Light,3,"['Big Shades', 'Black Lipstick', 'Straight Hair Blonde']",../punk_imgs/13.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk13.png
14,Human,Female,Dark,3,"['Pipe', 'Pilot Helmet', 'Hot Lipstick']",../punk_imgs/14.png,1.75,https://www.larvalabs.com/cryptopunks/cryptopunk14.png
15,Human,Male,Albino,3,"['Luxurious Beard', 'Wild Hair', 'Regular Shades']",../punk_imgs/15.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk15.png
16,Human,Male,Medium,3,"['Stringy Hair', 'Earring', 'Small Shades']",../punk_imgs/16.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk16.png
17,Human,Male,Light,2,"['Frown', 'Mohawk']",../punk_imgs/17.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk17.png
18,Human,Male,Medium,2,"['Eye Mask', 'Muttonchops']",../punk_imgs/18.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk18.png
19,Human,Female,Dark,3,"['Bandana', 'Horned Rim Glasses', 'Hot Lipstick']",../punk_imgs/19.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk19.png
20,Human,Male,Light,1,['Crazy Hair'],../punk_imgs/20.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk20.png
21,Human,Male,Light,3,"['Messy Hair', 'Classic Shades', 'Earring']",../punk_imgs/21.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk21.png
22,Human,Female,Dark,2,"['Pilot Helmet', 'Purple Lipstick']",../punk_imgs/22.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk22.png
23,Human,Male,Light,3,"['Handlebars', 'Earring', 'Do-rag']",../punk_imgs/23.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk23.png
24,Human,Male,Light,2,"['Smile', 'Mohawk Dark']",../punk_imgs/24.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk24.png
25,Human,Female,Dark,1,['Wild White Hair'],../punk_imgs/25.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk25.png
26,Human,Female,Medium,1,['Dark Hair'],../punk_imgs/26.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk26.png
27,Human,Male,Light,2,"['Peak Spike', 'Earring']",../punk_imgs/27.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk27.png
28,Human,Male,Dark,2,"['Big Shades', 'Crazy Hair']",../punk_imgs/28.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk28.png
29,Human,Female,Medium,3,"['Horned Rim Glasses', 'Half Shaved', 'Earring']",../punk_imgs/29.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk29.png
30,Human,Male,Dark,2,"['Normal Beard Black', 'Cap']",../punk_imgs/30.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk30.png
31,Human,Female,Dark,1,['Stringy Hair'],../punk_imgs/31.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk31.png
32,Human,Male,Light,2,"['Frown', 'VR']",../punk_imgs/32.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk32.png
33,Human,Male,Light,1,['Peak Spike'],../punk_imgs/33.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk33.png
34,Human,Female,Light,2,"['Frumpy Hair', 'Purple Lipstick']",../punk_imgs/34.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk34.png
