tx_id,date_time,from,to,eth_price,punk_id,punk_skin_tone,punk_skin_tone_color
1608,2019-01-01 12:01:56,1527,4092,0.29,7478,Light,#F2A359
1609,2019-01-01 21:01:58,1442,1206,0.3,1244,Medium,#DB9065
1610,2019-01-04 03:01:41,1245,2900,0.39,4941,Albino,#F2DC5D
1611,2019-01-04 19:01:34,5341,5350,0.3,6837,Light,#F2A359
1612,2019-01-04 23:01:14,5823,2552,0.47,9095,Light,#F2A359
1613,2019-01-07 05:01:53,5664,1150,0.275,2398,Dark,#A4031F
1614,2019-01-07 21:01:01,1808,128,1.0,3756,Light,#F2A359
1615,2019-01-07 21:01:29,5664,2317,0.275,3512,Medium,#DB9065
1616,2019-01-07 21:01:32,1997,128,0.49,7441,Albino,#F2DC5D
1617,2019-01-07 22:01:06,2676,128,1.75,7875,Albino,#F2DC5D
1618,2019-01-07 22:01:23,1946,5350,0.35,9271,Medium,#DB9065
1619,2019-01-07 22:01:43,2255,128,0.75,6592,Light,#F2A359
1620,2019-01-07 22:01:44,5523,5350,0.3,5637,Dark,#A4031F
1621,2019-01-07 23:01:20,5664,5350,0.275,3474,Medium,#DB9065
1622,2019-01-07 23:01:29,927,5350,0.3,3612,Medium,#DB9065
1623,2019-01-07 23:01:51,927,5350,0.3,2862,Light,#F2A359
1624,2019-01-08 00:01:45,1364,5350,0.35,5939,Dark,#A4031F
1625,2019-01-08 00:01:53,5664,5350,0.275,6531,Light,#F2A359
1626,2019-01-08 10:01:18,951,5350,0.4,2761,Dark,#A4031F
1627,2019-01-08 16:01:56,927,4441,0.42,4476,Light,#F2A359
1628,2019-01-09 16:01:24,707,560,0.448,8677,Light,#F2A359
1629,2019-01-09 16:01:47,4438,560,0.37,5728,Medium,#DB9065
1630,2019-01-10 18:01:25,1364,1119,3.59,7756,Non-human,#8DFFCD
1631,2019-01-10 21:01:42,927,335,0.3,3584,Medium,#DB9065
1632,2019-01-11 05:01:53,927,1150,0.295,9411,Dark,#A4031F
1633,2019-01-13 11:01:28,1364,1088,0.69,8912,Light,#F2A359
1634,2019-01-16 20:01:09,3450,5497,0.4,3395,Albino,#F2DC5D
1635,2019-01-17 03:01:33,2805,5231,0.29,2848,Light,#F2A359
1636,2019-01-17 09:01:49,1364,862,0.35,2845,Light,#F2A359
1637,2019-01-18 08:01:00,927,953,0.295,9453,Albino,#F2DC5D
1638,2019-01-18 12:01:46,4438,862,0.35,8395,Medium,#DB9065
1639,2019-01-19 09:01:08,1364,3495,1.39,8562,Dark,#A4031F
1640,2019-01-19 13:01:10,4438,3495,0.4,6216,Albino,#F2DC5D
1641,2019-01-19 13:01:10,4438,3495,0.45,1330,Light,#F2A359
1642,2019-01-19 13:01:24,5523,3495,0.4,9420,Dark,#A4031F
1643,2019-01-19 13:01:25,1150,3495,0.45,1537,Dark,#A4031F
1644,2019-01-19 13:01:32,1150,3495,0.45,9976,Light,#F2A359
1645,2019-01-19 14:01:11,927,1150,0.29,9691,Dark,#A4031F
1646,2019-01-20 07:01:50,3076,1150,0.28,5105,Medium,#DB9065
