,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1523120688181129217,https://twitter.com/mashik250/status/1523120688181129217,2022-05-08 02:00:44+00:00,"ASIX project is building a fully regulated ecosystem that will ensure safety and fairness pricing to all. I think with such a strong team everything will turn out fine.
@ASIXPLUS #ASIX+ #NUSANTARAVERSE #NFT #BSC #Blockchain",mashik250,0,0,1,,"[User(username='asixplus', id=844627423811551233, displayname='asixplus', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,1522985130087706625,https://twitter.com/supernftwars/status/1522985130087706625,2022-05-07 17:02:05+00:00,"Hello, dear #SNW #community 🙌🏽

🚨 Some IMPORTANT UPDATES for you: 

In order to ensure fairness and the even distribution of #SNW #NFTs in the hands of as many people as possible, the #SNW team decided to bifurcate the SNW-CB sale into different phases ✅

More in the 🧵below 👇🏽",supernftwars,2,4,5,,
2,1522979378233495552,https://twitter.com/KOKO_by_3ZNFT/status/1522979378233495552,2022-05-07 16:39:14+00:00,"🔥Lottery tickets! 🔥 Only 12 tickets in total! The draw will be recorded live in TG group using WheelOfNames to show fairness. 
https://t.co/fUpviY3CE1

https://t.co/j01QDro4UU

https://t.co/g82kPjR0yr

https://t.co/DeyuxArqKp

#proton #xpr #nft #NFTProject #NFTCollection https://t.co/sMBJjISRBc",KOKO_by_3ZNFT,0,4,8,,
3,1522960236822282240,https://twitter.com/NFTGlobalNews1/status/1522960236822282240,2022-05-07 15:23:10+00:00,"With #NFTs approaching the mainstream, it’s getting harder for new NFT collections to stand out from the crowd. Here are the steps we’ve seen successful #NFT projects nail:
-Tell a compelling story
-Set up smart contracts
-Build community
-Create fairness 
-Lasting value&amp;innovate",NFTGlobalNews1,1,0,3,,
4,1522860059520380928,https://twitter.com/MasterMetaNFT/status/1522860059520380928,2022-05-07 08:45:06+00:00,"be an advocate for fairness, transparany and anti rugging in any form and personally, if you're not doxed, I'm pretty much going to keep my distance. 

If you're not willing to reveal your identity, how can I trust you with my hard earned ETH and valuble time? Makes sense right?",MasterMetaNFT,1,0,3,,
5,1522858290757005313,https://twitter.com/revolution_dao/status/1522858290757005313,2022-05-07 08:38:04+00:00,"⚖️As long as the project owner has a large number of chips, the user of such a project will be at great risk and #RevolutionDAO will give you maximum fairness and security.

#DAO #Web3 #NFT https://t.co/isaDFlgDQ1",revolution_dao,0,0,2,,
6,1522734879192014848,https://twitter.com/GrailLive/status/1522734879192014848,2022-05-07 00:27:40+00:00,"We believe NFT auctions are the only way to bring more fairness to the game.

Still selling your NFTs in a ""Buy Now"" format ? You're missing out. A 🧵:",GrailLive,1,1,2,,
7,1522704484136280064,https://twitter.com/TheInsidor/status/1522704484136280064,2022-05-06 22:26:54+00:00,"Oof, really bad look for Azuki. Integrity and fairness is vital to the longevity of the NFT space. https://t.co/XpiruK4Ssq",TheInsidor,1,1,2,,
8,1522564654085464064,https://twitter.com/trava_finance/status/1522564654085464064,2022-05-06 13:11:16+00:00,"🔥TRAVA KNIGHT NFT - A NEW METHOD OF FARMING 🔥

🎉 HEURISTIC FARMING IS COMING SOON IN MAY 2022 🎉

🔱 This newly Farming method will ensure #fairness among #Knights, help you have better #rewards.

‼️ Don't forget to vote: https://t.co/tEGZZDopbk https://t.co/fpD78v5icF",trava_finance,2,18,43,,
9,1522398408148803584,https://twitter.com/mahi411322/status/1522398408148803584,2022-05-06 02:10:39+00:00,"@ClubContenders @BombCryptoGame Usually, NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them.
How would @BombCryptoGame promotes fairness and equality to its players?
Do the skills of the players matter more than the character?",mahi411322,0,0,1,,"[User(username='ClubContenders', id=1479520183597207558, displayname='Crypto Contenders Club', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BombCryptoGame', id=1430400516178157568, displayname='Bomb Crypto', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BombCryptoGame', id=1430400516178157568, displayname='Bomb Crypto', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,1522388548824928256,https://twitter.com/insert_name29/status/1522388548824928256,2022-05-06 01:31:29+00:00,@yungblackmaoist In fairness this actually depends on the NFT - depending on what kind of NFT’s these are they’re rly just fancy little pictures that don’t rely on insane power usage,insert_name29,1,0,1,,"[User(username='yungblackmaoist', id=1239431608689704960, displayname='打击美帝国主义！反对社会帝国主义！ ✊🏾📕 🔥🌽🔥🥭', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
