trader_id,address,tx_involved
58,\x3295df41a2f288da03818ae32565e1599f1b2eee,"[1688, 1686, 1687]"
137,\xff26daf59344e04b06a7720b60381ce4eb2afd7a,[1612]
164,\xad614f3453dc0e763eafd096416076c335e877dc,[1823]
231,\x6611fe71c233e4e7510b2795c242c9a57790b376,"[2248, 1995, 1612, 2096, 1779, 1716, 1917]"
239,\xb6e578b246061353626272d8c47cee477001c321,[1631]
252,\xc2ac3c875b2785b7654eb174fad174d718c8c07f,"[1666, 1638, 1640, 1641, 1629]"
270,\xca81319a0576854c2e8a9903a9c4f37bf42ebbd3,"[1770, 1781, 1774]"
283,\x9fad1f23aa3961d32fb7745976d86edbcc1d4945,[2193]
290,\x84ecb387395a1be65e133c75ff9e5fcc6f756db3,"[2395, 1637]"
341,\x97b00eebfc135baf9fbcf1daeeddab2fde75d5ce,[2089]
348,\x31b415f5213d0c383d859e908c32882c807c4c32,[1702]
364,\x5acce70cae148b520ff36dcf177ee78ba54ebc04,"[1673, 1674, 1786, 1785]"
369,\x585755f64bb48a5c90a233e4ec4662b1d2eb81d8,"[2247, 2248, 2249, 2250, 2251]"
372,\x01c2e7b1de06da53bd0ec82fdb59e5767b8c6da1,[2331]
394,\xdabb1e456cb0c490a34f65eff43ed0c449f039a7,[2003]
423,\x1dbdfb2f20346fe3fa99c51961fa73a652e5b562,[1682]
424,\xf5099e196469257c0d457e896a648d5f616af034,"[1800, 1939, 1944, 2332, 1696, 1698, 1827, 1703, 1715, 2355, 2233, 2234, 2372, 2375, 1626, 2028, 1652, 2045, 1790]"
426,\xc00c2bcb33f0600ee5466f0f7424ce4a7150e7c8,"[2412, 2052, 2071]"
455,\x91d6e260a5965a3c33d5bc4bf4adcf96c449ed2e,"[1952, 1953, 1708, 1950, 1951]"
467,\x1424d290d3550c6ebab94c42ab415c20eed8a4e1,[1635]
470,\x51c3016d6699480ec6becdf2155079c27ebae040,"[1642, 1620]"
493,\x2db1c4419063939349431eb52f52b18b8ddbf592,"[2393, 1858, 2388, 2389]"
507,\xb89c2f6bb674bd6aace2a1e274d40e6dc4775b15,"[1800, 1801, 1675, 1676, 1677, 2061, 1679, 1685, 1689, 1817, 1690, 1692, 2078, 1955, 2087, 2235, 1727, 2245, 1993, 2253, 2254, 2031]"
530,\x0af8cc09df6359df62963d9ab4b739b87ed4d7fb,"[1608, 1841, 1959]"
545,\x788ff8673b537b3e0c546622646daeaa5a0da6f4,[1875]
609,\x42e62e421bedf2469826879ec1a0574d7d3cca26,"[2336, 1718, 1734, 2343]"
658,\xff98853e6ead378b5bbe9cab173de5798155eeaa,[2329]
667,\x4c7ca4090bfae85f7cbcd4ce675cf449a2448403,[1646]
738,\x426baae6b23829c807063459bab5e7063cfe1034,[1696]
827,\x12cce16590243983387b681ffe871754de9f7174,[1845]
840,\x7a2842cd3117637a9efc05f71dea7bc3b79d36d3,[2358]
858,\x317c133da99cea922c98dd9d5d561a3a9f8e97bf,[2060]
903,\xc72f3a0fedd9df54af271912f283cc0024c14197,"[1731, 1614, 1616, 1617, 1619, 1750]"
938,\x018edc98b3190dbb261e6ff3858c4ba59c71ba94,[2066]
939,\xe10824fd1ffb9951215025eb26cda42d2d8d9c4c,"[1824, 1825, 1826, 1703, 1704]"
954,\x4f1075bf0e30f4e5c4796c36b85dc95ff1f39f69,[1730]
965,\xd2dca83d408e20dc4be79fc6b982bf960c7904f5,[1655]
984,\x337101def3eeb6f06e071efe02216274507937bb,[1966]
1053,\x2b4a3ebb0b5be22e53d058029948d882b4afe27b,"[1939, 1916]"
1079,\x35632b6976b5b6ec3f8d700fabb7e1e0499c1bfa,"[1921, 2321, 2200, 2201, 2202, 2203, 2204, 2205, 2206, 2207, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2345, 2089, 2210, 2211, 2212, 2213, 2214, 2215, 2216, 2217, 2218, 2219, 2220, 2221, 2222, 2223, 2224, 2225, 2226, 2359, 2361, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2373, 2374, 2377, 2378, 2379, 2253, 2380, 2381, 2335, 2208, 2209]"
1085,\x87e225ee673dedb378ee378d758b941dbd79b6af,"[1806, 2070, 2071, 2074, 1818, 2077, 2079, 2088, 2091, 2227, 2232, 1850, 1856, 2112, 2113, 1863, 1611, 2257, 1618, 1620, 1621, 1622, 1623, 1624, 1625, 1626, 2397, 2403, 2404, 2406, 2279, 1914]"
1086,\x2ec5db9ec8e6af3db45ff8de9309ab8845090ac9,[2009]
1113,\x653a8b0a31a24dba88baf7cb3ab3d144d8253d6b,[1964]
1114,\x7c0d2f1eb3dc2cc21d6118789d26f2db09311b1d,[1764]
1181,\x4d92ad3932218b0fcaf7605f225af1965d4f06c3,[1943]
1197,\xf3cf13658b1082855d7ac8830156d332def9ee8a,[1682]
1223,\x0a37249ee44b4fd883a52a62b4785e693535cf82,[1819]
1263,\x89c5dca00b9bf5ad746b91ec911c56cb4aee17f0,[1936]
1266,\x30507c620d5c4c8fa74c9efa3d5dbdcd5c50bebd,[2352]
1284,\x003f6b20bfa4b5cab701960ecf73859cb3c095fc,[2256]
1303,\xdd975b0e75a171d202e4b1c60512c2016a994e94,[1717]
1354,\x2999377cd7a7b5fc9fd61db33610c891602ce037,"[2360, 2291, 1804, 2359]"
1365,\x2d90331b87246af3a99dfe2672ebd114d887be71,[1722]
1387,\xa9c2066be0c0bbccdd84cd7a689277a64624ea61,"[2240, 2278, 2236, 2238, 2239]"
1402,\xf22f00d0b95b1b728078066e5f4410f6b2be8fae,"[2050, 2051, 2052]"
1428,\x581b59995dd05399a2bafbadd809e200974cfdae,"[2370, 2056, 2044, 2061, 2064, 2065, 2045, 2035, 2036, 2037, 2196, 2046, 2043, 2076, 2333, 2078, 2047]"
1435,\x249a1824bde336330bafbbbc3d6e7a4e60948a1e,[1694]
1460,\xf0ccf93438aebc3065cef29e013fc5f4835c4780,[2053]
1471,\xdf2e9f49da1a2ba981cc1d5ee08d492fa0819f91,"[2194, 2195]"
1499,\xde0193fcaf598104bf001133354d9f84c35ddb4b,[1634]
1534,\x70c4bcc07a2bfc0cff3c7099b4a9e0ebca181c02,[1680]
1549,\xdbb59151b18dd72e9ac092706e93de5b5d7a9325,"[1697, 2049, 1805, 1810, 1755]"
1615,\x40dcb6db7bf5352cfe9219033ffdc67b5e3e0488,"[1924, 1636, 2118, 1638, 1780, 1653, 1654, 1752, 2041, 2040]"
1632,\xdcd2d696401e6a43dfde933f4111cb0f2f53cf4e,[2411]
1666,\x9be96a6e861d2e5aff1fe0738bed664b6f0b543e,[2192]
1675,\x1e9babdb4743dbaaf287352bc9d3d8c31b0ff327,"[2130, 2131, 2132, 2199]"
1678,\x4710e331ccebb23d87bd3e2285ff1b591c1260f7,[1627]
