,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1523185760416845825,https://twitter.com/nftpho/status/1523185760416845825,2022-05-08 06:19:19+00:00,@PauloBaldemor If the NFT project is for a political candidate sure. But the community is to bring more of a certain gender of a ethnicity.,nftpho,0,0,1,,"[User(username='PauloBaldemor', id=369923524, displayname='Arrhas 🔶', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,1523086187506077696,https://twitter.com/ThemilieuNft/status/1523086187506077696,2022-05-07 23:43:39+00:00,"🚨MILIEU is now live on @opensea 

A collection of digitally created 1/1 hand drawn project, inspired by different ethnicity and their ideologies depicted in their dressing style. 

Floor price: 0.04 eth 
Check it out here: https://t.co/aWSJpeSBpX https://t.co/CzhxZvPRxn",ThemilieuNft,2,2,7,,"[User(username='opensea', id=946213559213555712, displayname='OpenSea', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,1522927177917878273,https://twitter.com/capturexindia/status/1522927177917878273,2022-05-07 13:11:48+00:00,"@nftnewspro Portraits | Faces of India by Akshay Naik

https://t.co/3syB7YMzCW

This is a collection of faces which sing of beauty amidst simplicity and ethnicity. https://t.co/H2XxweO7uk",capturexindia,0,0,2,,"[User(username='nftnewspro', id=1433871035842142262, displayname='NFT NEWS PRO', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,1522820523943772163,https://twitter.com/dorisaponften/status/1522820523943772163,2022-05-07 06:08:00+00:00,"Kyushu Girls' Wings is a girl group that uses strong dance performances to portray the ""beauty,"" ""cuteness,"" and ""power"" of Kyushu women

#nft #nftcommunity #dorisapo #japanese #japan #joy #entertainment #ethnicity https://t.co/py0IkyMd6z",dorisaponften,0,3,4,,
4,1522622220769669120,https://twitter.com/dorisaponften/status/1522622220769669120,2022-05-06 17:00:01+00:00,"50 limited edition collaboration NFT on sale! 

An image of the myth of rice in the microscopic world
Illustration of the world as he thinks of it.

#nft #nftcommunity #dorisapo #japanese #japan #joy #entertainment #ethnicity",dorisaponften,1,2,5,,
5,1522562323151568900,https://twitter.com/dorisaponften/status/1522562323151568900,2022-05-06 13:02:00+00:00,"Kyushu Girls' Wings is a girl group that uses strong dance performances to portray the ""beauty,"" ""cuteness,"" and ""power"" of Kyushu women.

#nft #nftcommunity #dorisapo #japanese #japan #joy #entertainment #ethnicity",dorisaponften,0,2,9,,
6,1522470099831062528,https://twitter.com/UltramanETH/status/1522470099831062528,2022-05-06 06:55:32+00:00,"3/ The series instilled important core values to millions of kids across Asia. They taught us to always be kind, to help each other out regardless of race/ethnicity and to be fair and just. We think this is incredibly important given the context that we live in today. https://t.co/8FWe7ri9wU",UltramanETH,2,21,84,,
7,1522433474728108032,https://twitter.com/dorisaponften/status/1522433474728108032,2022-05-06 04:30:00+00:00,"Joy Van Crew is a female idol group that was formed in June 2017 and primarily performs in the Kansai area.

#nft #nftcommunity #dorisapo #japanese #japan #joy #entertainment #ethnicity",dorisaponften,0,1,11,,
8,1522369149917437952,https://twitter.com/TaylorEvTheDev/status/1522369149917437952,2022-05-06 00:14:24+00:00,"If you are an NFT artist, I want to see your work. ❤️👀

I wanna know more underground /small artists globally.

Tell me your name, the type of art you do, and the ethnicity(ies)/culture(s)/country(ies) you're representing. 

Don't forget to show me your best piece too.

👇👇👇",TaylorEvTheDev,1,3,8,,
9,1522146583994789888,https://twitter.com/dorisaponften/status/1522146583994789888,2022-05-05 09:30:00+00:00,"Joy Van Crew is a female idol group that was formed in June 2017 and primarily performs in the Kansai area.

#nft #nftcommunity #dorisapo #japanese #japan #joy #entertainment #ethnicity",dorisaponften,0,1,6,,
