trader_id,address,tx_involved
40,\xdb20092d748ff1f18a3bcc4678e5ab6dbbd44057,[770]
86,\xcea58d938f3532df8378f3699c327a9f7f485bd3,[841]
91,\x005734d7d408bccf41cff34b46244551d01f0a6b,"[28, 13, 15]"
115,\x398646e26814c67edd6f49da25c121be0cf96c40,"[716, 708]"
151,\x1e32a859d69dde58d03820f8f138c99b688d132f,"[865, 290, 178, 183, 187]"
191,\x58f18776627c3b5feada0bed06a0cbeda29b48b7,"[921, 628, 887]"
206,\x1aad0f89aab0d5c35d805ac4f2645d8f1ff5af5a,"[680, 681]"
231,\x6611fe71c233e4e7510b2795c242c9a57790b376,"[130, 525, 275, 280, 282, 283, 286, 288, 289, 291, 298, 304, 183, 184, 439, 440, 441, 442, 319, 320, 451, 463, 343, 220, 222, 352, 353, 368, 626]"
252,\xc2ac3c875b2785b7654eb174fad174d718c8c07f,"[905, 901, 887]"
256,\xc0f5ddace8074496314c219283f56b576c43ca39,"[684, 683, 692, 693]"
264,\x560b9244a2fdc11563a7e7293997d54e147d63c3,"[361, 369, 370, 371, 372]"
276,\x54fc265dee8c68e6ed4ae488a8570a1e7d7c7dcd,[830]
303,\xc52641d393c78bc70c25a0abc99b32a26f38d890,[913]
383,\x14894023268da25ec85f2c9c71f4dec647f35d66,"[896, 912]"
385,\xab231a9c643d0e1f82742bdb75c3e2de2286c85d,[806]
389,\x81facc69908d9c1188280fbb2793567de39f8f9b,"[801, 802, 803, 774, 775, 776, 777]"
390,\xe8946f92ae71ce4b212a194aab02db742ff2166d,"[658, 667]"
424,\xf5099e196469257c0d457e896a648d5f616af034,"[902, 878, 658, 891, 860]"
426,\xc00c2bcb33f0600ee5466f0f7424ce4a7150e7c8,"[644, 134, 649, 653, 142, 527, 298, 559, 184, 442, 573, 579, 455, 347, 609, 611, 503, 366, 370, 243, 372, 631, 251, 638]"
487,\xe0e1068d639b8e2bfedaf25348c760cf717b2659,[428]
491,\x96cda18688cb93f0578ce9dfa35014c877624f1f,[739]
501,\xa80be8cac8333330106585ee210c3f245d4f98df,[724]
637,\xedc9c1c41548c0881aed70f65ccd8cbf904058c5,"[17, 20]"
671,\x9113d4142de0f25a50d952f808f4c09dd70da46d,"[648, 645, 646, 647]"
718,\x76ee90e1ec74ae3b684710a6979c2ff220054fb8,[919]
783,\x6a8920d18b477c3e7446cf7f82dc0a9e38bf5fcf,[937]
788,\xdf8b1a76740c39ab8ec891ae2acd41d90e95c01d,"[52, 53, 54, 55]"
818,\xa64bdddd3c2c3a58b75888de261d35d21bfcde08,"[837, 838, 819, 820, 821, 822, 823, 827]"
872,\x8adbff0b3a45059c0578a05e00c7bf38c4f349a9,"[864, 865, 866, 868, 869, 870, 860, 861, 862, 863]"
875,\x7174039818a41e1ae40fdcfa3e293b0f41592af2,"[256, 257, 258, 260, 261, 262, 56, 57, 58, 59]"
900,\xa469a5347669328524f7cdfb2773744490093aa1,"[131, 110]"
906,\x18f4f933f8773c5bfbdf1a675f5fe667bc2020a1,[357]
973,\x9be1c7a1f118f61740f01e96d292c0bae90360ab,"[171, 173, 47, 176, 177, 179, 180, 181, 182]"
1011,\x30ce5288bddc4f3801e03243e123f62feceb75a0,[240]
1025,\xd978c97ba8cd2fce1647232b02dc6f1fea7f57a1,[910]
1043,\xe675218bba7ec17b0e2231bcacfe41c07667cbe8,"[350, 351]"
1106,\x4d0730811477a31ec202c04b3b72d43ee44cf8e9,[922]
1165,\x5d4535bf9faf3a27b0352bbe1649a24982d57cb6,[829]
1190,\xa641cfb81e8b81b7068bf3f4594f6d36b56c8f35,[825]
1201,\x6f4a2d3a4f47f9c647d86c929755593911ee91ec,[223]
1221,\x48587ea9e20d257b3e18a7cb8ac4aaf3ffd7429c,[463]
1233,\x87ee05fcc5b0290e2fbf6e3c68b65b6e572bed36,[743]
1254,\x68a15c64733d6038b5299aa2d87c8bbb56282af0,[744]
1265,\xa7eba7fda7e463c5509519edf03137c57f3ebe73,"[900, 681, 650, 55, 632, 221]"
1280,\xc5d739a29e3f97b59ddb1d8f46aaa2e46496d462,[163]
1303,\xdd975b0e75a171d202e4b1c60512c2016a994e94,[747]
1344,\x278dcbe75441a9dd1a1a8c6f6dd24ad3072ebe10,"[457, 458, 556, 598, 663, 541, 542]"
1346,\x682656a914e41ec388f4ab90cc01b29af5501da9,[632]
1362,\x459c137c88ce311332e0f575ad0f4bb2bc4711b1,"[620, 621]"
1413,\x89ba624ca607a13533247bee0a7d4c214a2730d8,[321]
1452,\xd8e80673419acfbf15bf8eb0239cda90f232051f,"[512, 514, 515, 516, 517, 518, 519, 521, 524, 543, 545, 546, 558, 564, 565, 572, 577, 579, 621, 622, 624, 625, 626, 629, 630, 633, 634, 635, 636, 637, 639, 640, 641, 642, 643, 645, 646, 647, 648, 651, 654, 659, 663, 673, 674, 676, 682, 690, 691, 708, 727, 797, 806, 826, 318, 323, 839, 854, 858, 859, 377, 379, 380, 387, 388, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 409, 410, 411, 412, 413, 414, 415, 418, 419, 420, 421, 422, 423, 424, 425, 426, 434, 436, 437, 438, 443, 444, 446, 459, 460, 462, 464, 468, 469, 478, 479, 480, 481, 483, 484, 485, 492, 493, 496, 497, 498, 499, 500, 501, 502, 503, 508, 509, 510, 511]"
1464,\x01486c3891761e93e5107890286abdc1834fc6d7,"[62, 403, 406]"
1495,\x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,"[875, 255]"
1499,\xde0193fcaf598104bf001133354d9f84c35ddb4b,[60]
1532,\x42bfa9c31ff65edfd6602b143f668d2f8d69915e,"[124, 588]"
1595,\x90b6539874e8ef189b7613cbcf3f07a694ce4e91,[867]
1643,\xd28bfaea8c886ff6424141278a928f3cde2741f1,[831]
1694,\x1a5fe261e8d9e8efc5064eeccc09b531e6e24bd3,[855]
1704,\x37ad75d01f35a9d5ed18a2642a97f1eba689a3fd,"[736, 886]"
1712,\x279d4a00cb930dc6202c2c6153a2289a105831ec,[908]
1715,\x948a1032b31aa3a2273bb9deaaab07be09e7afe7,"[195, 5, 8, 330, 12, 204, 16, 278]"
1725,\x9dbbfbf966ab8519c10e811c0adf95001f278428,[926]
1743,\x3d85d6c6c6d4425c4d1445016f12ed6f2d3570f4,[742]
1822,\x0c8e854729144ab6405939819f461764647f52ed,[51]
1837,\xd16e1172a4d33e46e94b2e2ff96b7c87489b7f67,"[619, 652, 593, 594, 595, 596, 597, 570, 668]"
1847,\x01d897c89cf965bfadfe5d790dc8723aa6c5b7ac,[847]
1852,\x470e9bd486ebf96ddf6b38de58f21b0872f85776,"[602, 604, 661]"
1883,\x6b88aced83e68a3bbf8b9b8744bee30e69215c54,"[160, 34, 35, 356, 164, 451, 452, 548, 137, 739, 144, 535, 569]"
1885,\x592a51330f1e824dd71135d3adc18d56a7bbf5df,"[824, 851]"
1911,\xc4eab1eaacbf628f0f9aee4b7375bde18dd173c4,"[843, 898, 899, 893]"
1931,\x8ad68e2c67b88ded4b1565d8b9288b665261338d,"[560, 561, 559]"
1935,\x7252b4ed5bb3fe6cdeb501bb65a7a24eb056a09a,[672]
2005,\x0b30fd3a500608413837bb025c2018933130f9db,"[257, 279, 542, 544, 292, 551, 810, 301, 685, 303, 180, 822, 312, 705, 710, 207, 607, 357, 614, 363]"
2109,\x47163cd5c490f0d02fdfd7351e8b1a6ee9a1c2fe,[535]
2119,\x3746e334d79cc605b06455638e303bde01229ef3,[682]
2125,\x00b278dd68f9d8491795ffaf771120638bef1686,"[265, 268, 269, 271, 284, 287, 288, 291, 292, 293, 294, 295, 296, 297, 299, 300, 301, 303, 304, 305, 306, 307, 308, 309, 310, 191, 192, 193, 194, 195, 196, 197, 198, 199, 201, 203, 204, 205, 207, 208, 209, 210, 211, 212, 213, 214, 215, 347, 349, 226, 230, 231, 232, 358, 234, 235, 236, 360, 244, 245, 246]"
2155,\xc8c115dcb2910ee8f3dbac4056b5448c4f624bde,"[354, 42, 43, 44, 46]"
2160,\x0a4eafeb533d4111a1fe3a8b323c468976ac2323,"[649, 656, 273, 276, 277, 279, 415, 293, 677, 678, 679, 555, 309, 567, 188, 578, 586, 717, 337, 346, 368, 375, 383]"
2223,\x42e14873e4ad775681fe0401e8ecae1bd6d0658a,[569]
2236,\x7f6ca7e7e3383db380b96badcf006a8cd8e7b120,"[904, 906, 911, 936, 814, 815, 833, 834, 835, 845, 846, 848, 849, 850, 852, 853, 735, 885, 761, 762, 895]"
2250,\x5d99d44544fc23f7759f7770f1b21b73d0706859,"[728, 725, 726, 727]"
2259,\xff84140cedeee480b804d211b48a2a6d68ba5941,"[34, 37, 73, 74, 43, 138, 139, 142, 239, 365, 429, 50, 242, 430, 436, 90, 251]"
2260,\x7d77538bc420d0b7efcea6a37f9c4cab671318ad,[652]
2281,\x5d5d6543d73066e69424ce2756cc34cbfe4c368c,[901]
2317,\x13d72a0dc32901e19460527a20890f24be8cda25,"[842, 818, 828, 807]"
2331,\xa84aa4443a8306278eda307dbc0bc5c5971aea86,[926]
2358,\x0057009257307484a6913157598d1b1d6c23bd3d,"[770, 773, 774, 678, 679, 664, 761, 765, 766, 671]"
2378,\x5d6f25d4cf84c905246cad78f96a1dd13ee57dda,[670]
2385,\xa0a59ca1ee70155da46bb8913d6d87c28dd4a7a3,"[449, 450, 167, 650, 45, 462, 589, 590, 592, 622]"
2408,\x99b88481d3b439a4ab8ce43c939b394d03d5394c,"[65, 270]"
2412,\x7d9f4a3ab2568f61c9087a8b5506dfcd5e8fea49,"[32, 22]"
2435,\x727ca37bfa784c8ecd36fabe2c739fce4f1e6c39,"[363, 364, 366, 378, 348, 381, 382]"
2449,\x6ea073f4de9cd42955539033091ae587c06a882c,[102]
2474,\xb11d6a1ad3d9ae2800ceb55fbbc4ee2273b94cd8,"[705, 741, 712, 765, 688, 657, 689, 690, 691, 661, 722, 627, 665, 699, 700, 701, 702, 763]"
2494,\xe8723d26ad5f7ff4ea8902d235f0a8f8b8802f6d,"[714, 923]"
2495,\xa3cb30128532f43fe1c8a9f4c19422aa631307a9,[445]
2505,\x8234be55f64ea91960b78357906cf5bebce81f3d,"[897, 899, 909, 919, 921, 925, 933, 934, 689, 699, 700, 701, 702, 706, 838, 841, 850, 852, 853, 862, 871, 872, 876, 882, 885, 886, 890, 892]"
2509,\x94c1d7488476e08d1f2e163b350e4f5e7e667aa3,"[902, 903]"
2519,\x7a341c8d5f04e55f907c3b1ef5c6c74b5add01c6,"[132, 133, 134, 135, 136, 143, 145, 146, 147, 148, 186, 190, 227, 355, 229, 233, 115, 117, 118, 120, 121, 122, 123, 125, 126, 127]"
2561,\xeb5889fbe37e21d90cfe321c33c4b6be258815df,"[888, 889, 890, 891]"
2652,\x8ba3e27d57f65cd793f10336c20c6e6f542c6a16,"[692, 693, 698, 827, 703, 704, 707, 709, 711, 713, 714, 715, 722, 723, 729, 730, 731, 732, 758]"
2658,\xdf95bbeafa41a9f2a4ffa0acac12081825036aa4,[574]
2688,\x8ca89c56aefd379baa15e0ec91c7f5ae7f5b096f,"[871, 872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884]"
2703,\xd11c2a4042c181d60f49f2d0775c5757f0457f2e,[805]
2705,\x28c89718f4dab5cf853e37e96735a3cad85c41d5,[417]
2706,\xdce6361a2812ce6b85858c63ba00ef538a77dfe8,"[908, 909]"
2760,\x6c0f58ad4eb24da5769412bf34ddee698c4d185b,"[687, 695]"
2783,\xc352b534e8b987e036a93539fd6897f53488e56a,"[0, 384, 2, 386, 388, 267, 676, 554, 306, 566, 316, 829, 446, 317, 575, 67, 456, 461, 94, 482, 99, 114]"
2784,\x7fb715b3b623e75ccba2dbd7f3d2d098115a8c06,[856]
2809,\x6f72f2bea4bd4bc91e35e951cc752b2bc94a185c,"[733, 734]"
2853,\x7f8d2ecf6e89f7840a6a71ac37866a3cf4f17c9a,"[467, 494]"
2878,\x2478c4d111e3ed59a56292564ea70448de6c492a,"[520, 522, 525, 526, 527, 528, 529, 530, 531, 532, 533]"
2882,\x830c91140ad5851d5b765691e14c04101829eaea,[895]
2915,\x5c74324ade39ba071fd493ae35b06ef06e215a4d,[362]
2964,\x81b9a5f21efdb5df0210471b9a94e0d4ad9951ed,"[816, 817]"
3052,\xfb077c541507ed890abb7e670180b97ccbac0e9c,"[545, 514, 515, 516, 517, 518, 519, 612, 521, 523, 524]"
3054,\x0d8040392a83e4b928b2020ea8e0fa91f5853026,[575]
3108,\x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,"[1, 3, 4, 6, 7, 10, 11, 540, 554, 556, 557, 48, 560, 50, 568, 60, 61, 572, 66, 67, 78, 79, 80, 81, 89, 91, 104, 105, 106, 107, 108, 109, 110, 119, 120, 122, 126, 128, 129, 130, 132, 133, 135, 149, 151, 152, 153, 154, 159, 174, 175, 185, 187, 191, 225, 228, 238, 255, 256, 260, 263, 285, 302, 305, 322, 333, 335, 339, 345, 355, 365, 375, 376, 387, 406, 434, 435, 453, 465, 468, 470, 471]"
3110,\xf3860788d1597cecf938424baabe976fac87dc26,[924]
3113,\x870a9d294e3ac5bb9778ca9755d3d04f3e8432a8,"[217, 218, 219, 221]"
3135,\x370638bdc9da1e92b418300e99b550395e8a7648,[103]
3217,\x0bf913bedf5c6aca673db3b697a4e543550ceb4d,"[138, 395, 660, 404, 667, 158, 36, 37, 194, 199, 203, 360, 237, 367, 115, 116, 117, 244, 245, 121]"
