tx_id,date_time,from,to,eth_price,punk_id,punk_skin_tone,punk_skin_tone_color
4940,2021-01-01 11:01:00,5731,2326,88.55,9368,Non-human,#8DFFCD
4941,2021-01-01 17:01:49,5802,82,11.44,4444,Dark,#A4031F
4942,2021-01-02 02:01:42,3858,5380,5.47,9340,Light,#F2A359
4943,2021-01-02 17:01:12,1780,1721,5.45,4861,Light,#F2A359
4944,2021-01-02 18:01:37,4427,2048,5.3,9683,Dark,#A4031F
4945,2021-01-02 21:01:02,3984,4436,4.9,1743,Light,#F2A359
4946,2021-01-02 21:01:18,2160,4436,4.97,3410,Light,#F2A359
4947,2021-01-03 08:01:44,2048,2004,12.9,9683,Dark,#A4031F
4948,2021-01-03 11:01:15,3558,2535,4.99,5544,Dark,#A4031F
4949,2021-01-03 17:01:45,3941,3984,7.5,4452,Dark,#A4031F
4950,2021-01-03 18:01:55,5407,5118,5.5,5287,Medium,#DB9065
4951,2021-01-04 16:01:28,4001,5702,4.69,8751,Dark,#A4031F
4952,2021-01-04 23:01:25,5170,1468,7.5,9167,Dark,#A4031F
4953,2021-01-04 23:01:37,5170,2520,4.99,7752,Light,#F2A359
4954,2021-01-04 23:01:54,5170,1849,7.89,7501,Albino,#F2DC5D
4955,2021-01-04 23:01:55,5170,3554,12.5,8639,Medium,#DB9065
4956,2021-01-05 00:01:01,391,3488,4.98,5198,Dark,#A4031F
4957,2021-01-05 00:01:59,5170,5118,8.5,6612,Dark,#A4031F
4958,2021-01-05 11:01:38,5170,3514,18.0,7888,Light,#F2A359
4959,2021-01-05 11:01:47,5170,3728,8.5,8767,Light,#F2A359
4960,2021-01-05 12:01:37,2523,3792,5.04,9720,Dark,#A4031F
4961,2021-01-05 13:01:41,2495,4726,6.5,2928,Light,#F2A359
4962,2021-01-05 15:01:40,5431,108,4.6,8436,Dark,#A4031F
4963,2021-01-05 17:01:07,5407,3128,4.8,5226,Light,#F2A359
4964,2021-01-05 19:01:06,2523,3558,4.61,3418,Medium,#DB9065
4965,2021-01-05 19:01:25,5407,602,4.65,5065,Medium,#DB9065
4966,2021-01-05 21:01:06,4941,3736,4.99,9675,Medium,#DB9065
