,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1522198620568797184,https://twitter.com/NFTRVN/status/1522198620568797184,2022-05-05 12:56:46+00:00,Anonymity. Marketplace. You are in control. NFTRVN.,NFTRVN,1,0,7,,
1,1521950792046891008,https://twitter.com/SlothtopiaNFT/status/1521950792046891008,2022-05-04 20:31:59+00:00,"I understand the idea of anonymity because Satoshi is anon and the greatest legend in our industry

But, everyone with 'video on'...thank you. Our human need for social cues &amp; connectivity cannot be ignored. Your PFP is cool, but you as a person are beautiful. Let's connect",SlothtopiaNFT,5,2,34,,
2,1521938596667617280,https://twitter.com/TheCodeDuh/status/1521938596667617280,2022-05-04 19:43:32+00:00,"This is to ensure we will all be adhering to the first agreement. We are all accountable. Anonymity is great but we require truth. Next is the LLC! 

#ETH #NFTGiveaways #NFTsales #NFTs #NFT #doxxedteam #Ethereum #NFTcollectibles https://t.co/UdsYmNK2df",TheCodeDuh,0,0,5,,
3,1521898785038872581,https://twitter.com/LouPeaTV/status/1521898785038872581,2022-05-04 17:05:20+00:00,"Anonymity, has been in the works since the beginning of the year and am excited to reveal what’s going on.
Happy May The 4th. 
#NFTProject #NFTdrop #NFTCommumity #NFTartists #OpenSeaNFT #digitalart https://t.co/TWTaEALECN",LouPeaTV,2,2,5,,
4,1521888049046695936,https://twitter.com/nft_gora/status/1521888049046695936,2022-05-04 16:22:40+00:00,"immortalized as one of Vermeer's most important works, her look of sadness, her beauty and her anonymity will be known throughout of history. This is ""Girl with a pearl earring"" and is available now on Foundation.
https://t.co/WzFknJZICa
#nftcommunity #nfts #NFTdrop #nftcollector https://t.co/4CtoeMVy5Y",nft_gora,3,5,15,,
5,1521790934987546626,https://twitter.com/nft_lord01/status/1521790934987546626,2022-05-04 09:56:47+00:00,"@cryptojack $LUNA has caught my attention in the past weeks and is worth buying and holding.

$RAIL is another token worth the hype and attention with its privacy and anonymity across multiple chains and #NFT and #DeFi integration. #Hodling is definitely a good idea",nft_lord01,1,0,5,,"[User(username='cryptojack', id=1415997802321256453, displayname='Crypto Jack', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,1521736384855355392,https://twitter.com/nftfreaks/status/1521736384855355392,2022-05-04 06:20:01+00:00,Yeah we can.. build decentralized networks that champion anonymity like we are @Slyversenft only thing you’ll ever be able to do is zap our domain and we will just create new ones 🤷🏻‍♂️ https://t.co/ObqkjqJSNo,nftfreaks,0,1,6,,"[User(username='Slyversenft', id=1489357517532680192, displayname='Slyverse', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,1521574827265454080,https://twitter.com/LuvreNft/status/1521574827265454080,2022-05-03 19:38:02+00:00,"Artist @carlansloos, uses the concept of a masquerade to illustrate the adoption of the ‘alter ego’ and the connection between anonymity and personal empowerment.

“The Masquerade"" 🎭

#NFTCommunity #NFT https://t.co/jDqsX6MpT7",LuvreNft,0,5,23,,"[User(username='carlansloos', id=3904233763, displayname='MrPainter 🎭Masquerade Collection', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,1521508761977995264,https://twitter.com/ProfBeeNFT/status/1521508761977995264,2022-05-03 15:15:31+00:00,"You know you're invested in web3 when you accidentally say no doxxing instead of maintaining participant anonymity in a research setting...🤦‍♀️

 #NFTCommunity #academia #research",ProfBeeNFT,1,1,8,,
9,1521459914224414720,https://twitter.com/SolCultures/status/1521459914224414720,2022-05-03 12:01:25+00:00,"I joint this Solana NFT world as an escape. A way of being myself, but whilst also having this barrier on anonymity. 

Making friends all whilst trying to build wealth and freedom for more time with my other daughter and soon, my newborn son.",SolCultures,1,0,52,,
