,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1522565592502439942,https://twitter.com/Dan99258925/status/1522565592502439942,2022-05-06 13:14:59+00:00,Some people won't dox themselves because of fear of safety and/or harassment.  I wouldn't dox myself because I've said too much stupid shit and would just look like a regular clown. Speaking of which... @Regulars_NFT https://t.co/eXkyFCoFu5,Dan99258925,0,0,9,,"[User(username='Regulars_NFT', id=1418420214811746304, displayname='Regulars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,1522324606954188800,https://twitter.com/Koki_sol/status/1522324606954188800,2022-05-05 21:17:24+00:00,"🚨🚨 THE NFT SPACE IS FAR FROM SPACE FOR MEN 🚨🚨: 🧵

@NFTXos is a degen that you guys might know from different projects. But how come a so called “degen” did a harassment to someone like me?

Tagging 
@koolk123456 @cozypront @The__Solstice and anyone else who gib attention. https://t.co/TIs7TWIKnL",Koki_sol,6,6,12,,"[User(username='NfTxos', id=1440654748361711631, displayname='NFTxos', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='koolk123456', id=634075747, displayname='SolHub \U0001fab8', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='cozypront', id=885331587310735360, displayname='Cozy ⓣhe Caller 🚀', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='The__Solstice', id=2650025562, displayname='TheS◎Lstice | The Emperor', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,1522266747814187008,https://twitter.com/michonETH/status/1522266747814187008,2022-05-05 17:27:29+00:00,"🚨🚨 THE NFT SPACE IS FAR FROM SPACE FOR WOMEN 🚨🚨: a thread

@BashNft is a Alpha Caller that you guys might know from different projects. But how come a so called “Alpha Caller” did a harassment to someone like me?

Tagging @koolk123456 @cozypront @frankdegods @The__Solstice https://t.co/SbMXOaIepN",michonETH,98,44,181,,"[User(username='BashNft', id=1409587644254855173, displayname='bash', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='koolk123456', id=634075747, displayname='SolHub \U0001fab8', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='cozypront', id=885331587310735360, displayname='Cozy ⓣhe Caller 🚀', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='frankdegods', id=1441835930889818113, displayname='Frank (33.3%)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='The__Solstice', id=2650025562, displayname='TheS◎Lstice | The Emperor', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,1521633973134315526,https://twitter.com/Posi_Don/status/1521633973134315526,2022-05-03 23:33:04+00:00,"The NFT part of this is fine enough, but the part regarding the drama with Ekrcoaster is leaving out important context. There’s no mention of Ekr receiving the harassment he did, and the situation is being severely downplayed. Do better and address EVERYTHING. https://t.co/y06jhorCH5",Posi_Don,1,13,37,,
4,1521258891949969408,https://twitter.com/fuzion505/status/1521258891949969408,2022-05-02 22:42:38+00:00,@FenrirSlip @Poppyplaytimeco @youtooz im afraid about the harassment thing...even if it was one person on the team it doesn't matter. still awful and they deserve to be called out for it. as for the NFT stuff again they need to be called out on it so they don't do this shit again.,fuzion505,3,1,95,,"[User(username='FenrirSlip', id=1284378387520335872, displayname='Fenrocity (FenrirSlip)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Poppyplaytimeco', id=1491451737634443274, displayname='Poppy Playtime', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='youtooz', id=1080924673758527489, displayname='youtooz', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,1520847846320357382,https://twitter.com/v0paNFT/status/1520847846320357382,2022-05-01 19:29:17+00:00,"this space can be really brutal at times. for months i've been met with harassing comments on my tweets, harassment via dm's, bots spamming members of discords i'm in threatening to (and eventually) doxxing my personal information, having people call my school, etc...",v0paNFT,1,0,35,,
6,1519836832602931200,https://twitter.com/CryptoGalexi/status/1519836832602931200,2022-04-29 00:31:52+00:00,"@TheDefiJedi I can attest to TheDefiJedi’s good heart and enthusiasm and generosity. I was a stranger, new to his group and was treated with respect  and he sent me an NFT out of the blue. Everyone has a trigger point and constant harassment would make anyone snap. The fact that (1/2)",CryptoGalexi,1,0,6,,"[User(username='TheDefiJedi', id=884568713982164992, displayname='TheDefiJedi', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,1519744345808773120,https://twitter.com/Bornosor/status/1519744345808773120,2022-04-28 18:24:22+00:00,"@K1NAZIFI_NFT @sepiderafiee @Tezopunk Bruh… this is straight up harassment, there is no other side to this.
You made a scam project and pumped it through spaces and the tiny amateur Iranian community you’ve gathered around yourself, but damn boy you tried to do way more than you have the authority for.
gg bro",Bornosor,0,1,9,,"[User(username='K1NAZIFI_NFT', id=1398769270956466178, displayname='𓁹 𝐊1𝐍𝐀𝐙𝐈𝐅𝐈 🪐🇺🇦 ᴬʳᵗᴾʳᵒᵈᵘᶜᵗİᵒⁿˢ', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='sepiderafiee', id=948442933509976065, displayname='sepicaso🌱✨🤞🏻', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Tezopunk', id=1495149057538506760, displayname='Tezopunk Club', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,1518449834893606912,https://twitter.com/anastasia_ppnft/status/1518449834893606912,2022-04-25 04:40:26+00:00,"What is Peen Pics NFT? 🧵

A colourful NFT collection inspiring conversation, and action, about unsolicited sexual harassment and violence in our communities.",anastasia_ppnft,2,2,12,,
9,1517686538758500352,https://twitter.com/amirakitten444/status/1517686538758500352,2022-04-23 02:07:22+00:00,"Time for another chat about @rionlabsnft @crookznft @TheHumanoidsNFT and the harassment of investors and specifically women in the NFT space. I am tired of being bullied by these people for absolutely no reason. I have invested in two of their projects now and held both, 1/?",amirakitten444,4,2,7,,"[User(username='rionlabsnft', id=1509943305546571789, displayname='rionlabsnft', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='crookznft', id=1458222218505175045, displayname='Crookz™ by NIXON', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TheHumanoidsNFT', id=1394375260938678279, displayname='The Humanoids', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
