,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1522688497785597953,https://twitter.com/CryptoKing_NFT/status/1522688497785597953,2022-05-06 21:23:22+00:00,"As a content creator I've been going through some major moral dilemmas as of lately.

There is a very strong contrast between what people want to see, and what is truthful, integrity driven and moral content.",CryptoKing_NFT,6,2,25,,
1,1522514861338636288,https://twitter.com/borjamoskv/status/1522514861338636288,2022-05-06 09:53:24+00:00,"...bought this NFT from my own (and cool) #NFTs Collection , for a less than middle of her quiclky sale....

#ENSdomains #moral #compassion #ENSdomains 

https://t.co/kuyX5kb1ZA   &lt;&lt;&lt;&lt;&lt;&lt;--------- ✅",borjamoskv,5,2,10,,
2,1522204078528364550,https://twitter.com/MoralGuys/status/1522204078528364550,2022-05-05 13:18:28+00:00,"Giveaway time! Crackpot Bob holders have a chance to win a random NFT and a Crackpot Bob. Giveaway countdown: 1 day! 

1. Mint a Bob for 0.01 Eth https://t.co/KY6K52HEZD
2. Join us on discord and join our holders giveaway! 
https://t.co/hX8igJSVwm

#NFT #NFTGiveaway #NFTdrops",MoralGuys,0,4,5,,
3,1522054504186888192,https://twitter.com/moralslang/status/1522054504186888192,2022-05-05 03:24:06+00:00,"More animated A.I.

https://t.co/my1kcJuzIC

#aiart #nftcommunity #nft #nfts #nftcollection @nightcafestudio https://t.co/NB13TwbdDs https://t.co/GBEVCrcqFs",moralslang,1,1,10,,"[User(username='NightcafeStudio', id=1226012039098691584, displayname='NightCafe Studio', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,1521979050532741120,https://twitter.com/moralslang/status/1521979050532741120,2022-05-04 22:24:17+00:00,"Wibbles released 12th May 3pm GMT

https://t.co/my1kcJuzIC

#aiart #nftcommunity #nft #nfts #nftcollection @nightcafestudio https://t.co/NB13TwbdDs https://t.co/uJxlt56bxT",moralslang,1,0,12,,"[User(username='NightcafeStudio', id=1226012039098691584, displayname='NightCafe Studio', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,1521937557742829568,https://twitter.com/TulipSniper82/status/1521937557742829568,2022-05-04 19:39:24+00:00,"@kloss_eth @zeus_mick500 @BAYC2745 The man can do no wrong. When he’s quiet something big is coming, when he’s active something big is coming. Moral of the story, get your @psychedelic_nft now before it’s too late.",TulipSniper82,0,1,6,,"[User(username='kloss_eth', id=1470503969789251589, displayname='klöss.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zeus_mick500', id=741211602012254208, displayname='Zeus', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BAYC2745', id=1202724401528987648, displayname='voltura.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='psychedelic_nft', id=1434729911390855171, displayname='Psychedelics Anonymous', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,1521829559326617600,https://twitter.com/NFTjoe/status/1521829559326617600,2022-05-04 12:30:15+00:00,"A year later, Trevor is retweeting a story from @UNDRGRND_NFT by our mutual friend @BitcoinMadame. Moral of the story? @trevorjonesart is a genuinely good, humble person and a lot can change in a year in this space. https://t.co/DBEyKvZt1p",NFTjoe,1,0,6,,"[User(username='UNDRGRND_NFT', id=1435980043910410241, displayname='UNDRGRND', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BitcoinMadame', id=58280771, displayname='Bitcoin Madame☀️ (NFT Whisperer)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='trevorjonesart', id=150713367, displayname='Trevor Jones 🎨', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,1521704787615846400,https://twitter.com/CRYPTOJPGS/status/1521704787615846400,2022-05-04 04:14:27+00:00,"The Monk 
0.06 $ETH 
on opensea 
It somewhere presents the culture and ancientness of our INDIA because dharma ( religious and moral duties ) It's not about one Dharma in India there are many types of religions and Proudly we live together
https://t.co/scqUJjYxeC https://t.co/FsHpIlwc5y",CRYPTOJPGS,4,12,29,,
8,1521565254144077824,https://twitter.com/MortalMonsters/status/1521565254144077824,2022-05-03 19:00:00+00:00,"⏸ &amp; remember this👇

Prioritizing #mentalhealth can mean acknowledging your needs to manage your daily stresses as they come.
&amp;
It can also mean supporting others (family, friends, web3 homies).

Moral of the story: ""acknowledgement &amp; support go a long way"".

""❤️"" if you support",MortalMonsters,0,4,5,,
9,1521557715939561472,https://twitter.com/WorldOfGoonz/status/1521557715939561472,2022-05-03 18:30:03+00:00,"NFT #mfers will spend $10,000 on a jpeg then get their mom a card &amp; candle for Mother’s Day.

Moral of the story: don’t be that #mfer 

#NFTCommunity #MothersDay",WorldOfGoonz,3,2,7,,
10,1521457938069692418,https://twitter.com/JediSarlacc/status/1521457938069692418,2022-05-03 11:53:34+00:00,"#NFT scammer: Nobody knows who I am, I can steal from innocent people endlessly &amp; flex my stolen gains. I have no moral code.

Do they really think exchanges operating in their country, their ISP, Open*Sea, Meta*mask etc. will not cooperate with authorities?

#NFTCommunity #NFTs",JediSarlacc,6,1,3,,
11,1521393356382777345,https://twitter.com/mistahbuhau/status/1521393356382777345,2022-05-03 07:36:56+00:00,"@balladorbuat @Wigby @BretWeinstein No, you're just a low quality person who hates trans folks because you have poor moral character.

Work on your character.",mistahbuhau,1,0,8,,"[User(username='balladorbuat', id=1400414262699466758, displayname='Balladorbuat 🦕💚🤍💜🦖', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Wigby', id=19370635, displayname='wigby', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BretWeinstein', id=78683448, displayname='Bret Weinstein', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,1521342014503403520,https://twitter.com/Aleegy7163_KnK/status/1521342014503403520,2022-05-03 04:12:56+00:00,"I heard @ThePossessedNFT needed a bit of a moral boost so I had to show some love 🔥 Let me know what you think! Written, recorded, produced, mixed and mastered by me, using 4 of the samples provided by Psssd! #pssssdvibes #nft #art #learning #to #produce #NZ #rapper #lab #LFG https://t.co/ayXZtM1Kxr",Aleegy7163_KnK,5,1,10,,"[User(username='ThePossessedNFT', id=1485005599054127108, displayname='pssssd', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,1521338872180797441,https://twitter.com/cryptobull3232/status/1521338872180797441,2022-05-03 04:00:26+00:00,"Sad to liquidate 😢 my BCH after 4 long years, but moral of the story is don’t get married to coins 

Move them around where you think you can make the most gains during the downturn or a better store of value. 

In my experience I think the best store of value is Solid #NFT’s",cryptobull3232,15,3,42,,
