,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1521122646280196096,https://twitter.com/kwang_nft/status/1521122646280196096,2022-05-02 13:41:14+00:00,"Red Faces 🔺
New collection on @ParasHQ 

Red Faces is the person with red skin tone.

https://t.co/u6NpKMvjPr

#red #NFT #PARASnft #NEARnft #NEARcollector #NEAR #NFTthai https://t.co/OCKOD3k2eR",kwang_nft,1,15,20,,"[User(username='ParasHQ', id=1198495955349164032, displayname='Paras: NFT Marketplace', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,1520926841913151489,https://twitter.com/kawayushi_nft/status/1520926841913151489,2022-05-02 00:43:11+00:00,"Rainbow Kawayushi can express themselves on every spectrum. They can be identified by their color gradient skin tone. This one is ready to tell you some jokes!
#nft #nfts #nftdrops #NFTCommumity #kawayushi https://t.co/U5VplNrYSe",kawayushi_nft,0,3,9,,
2,1520053030200262659,https://twitter.com/ChibiGotchiNFT/status/1520053030200262659,2022-04-29 14:50:58+00:00,"Just a showcase of the most rare skin tone available in the ChibiGotchi collection.
https://t.co/oYhvdSuoPT

#ETH  #nft #nfts #NFTCommunity #NFTProject #NFTartist #nftart #NFTpolygon #PolygonNFT #PolygonNFTs #Ethereum https://t.co/wW0InmU2zV",ChibiGotchiNFT,2,0,4,,
3,1518270153984593921,https://twitter.com/Lazy_Buds/status/1518270153984593921,2022-04-24 16:46:27+00:00,"GM #lazybuds Did you know ghostbuds can change their skin tone whenever they want from purple to green to even transparent... Gives the idea of vanishing in thin air a whole new meaning.. Only its not very thin lol 😭get it?? Nvm😑
#nft #nfts #NFTCommunity #NFTartists #nftart https://t.co/xVjPjmRxZN",Lazy_Buds,3,3,13,,
4,1518006524160794624,https://twitter.com/jaimeschmidt/status/1518006524160794624,2022-04-23 23:18:53+00:00,"@sPg09 @MyBFF Generative NFT collections are made by layering different traits. Artist creates individual files for things like hair, eyes, skin tone, clothing. Then they’re all randomly combined to create the PFPs. There are considerations like order of layering, rarity of traits, etc. 😃",jaimeschmidt,0,0,14,,"[User(username='sPg09', id=22631040, displayname='spgdc.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MyBFF', id=1446176244119179277, displayname='BFF 🌈', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,1516175841583054855,https://twitter.com/AdamArcherArt/status/1516175841583054855,2022-04-18 22:04:24+00:00,"nerd i saw in the wild today, i think @Nightwishmaste2's , love how the elements came together. especially the head. skin tone, eyes, hair color, and hat 🎩 with 🦎 makes it 👍 @nuclearnerds   #NuclearNerdsofTheAccidentalApocalypse #nft #nftart #nfts  #nftartist  #nftcollector https://t.co/e6CBIClMcj",AdamArcherArt,2,1,32,,"[User(username='Nightwishmaste2', id=1325185152557838336, displayname='2337.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nuclearnerds', id=1421087839354343424, displayname='Nuclear Nerds | NFT', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,1514803799105306627,https://twitter.com/BOSSBRATBIMBO/status/1514803799105306627,2022-04-15 03:12:24+00:00,dollhouse NFT prototype doll. you’ll be able to mint and generate them with randomized features or pick a skin tone of your choice. 50+ full spectrum of skin tones based on fenty beauty foundation shades + alien skin tones. get excited cuz I’m super excited https://t.co/6yMihC1zf8,BOSSBRATBIMBO,0,0,14,,
7,1514494814225530883,https://twitter.com/DevikinsNFTGame/status/1514494814225530883,2022-04-14 06:44:36+00:00,"📚 Devikins Basic 101 - Ancestry

Part 1 📌

A #Devikin descends from one of five major ancestries present in Devikins: Lunarian, Ochran, Glyesian, Maarish, and Khoroth. The Devikin’s ancestry is expressed via their skin tone.

#Gamefi #CryptoGaming #DVK #NFT https://t.co/jvkPcXKm5x",DevikinsNFTGame,3,15,49,,
8,1514407556248223749,https://twitter.com/SpaceOkra/status/1514407556248223749,2022-04-14 00:57:52+00:00,"NFT Gallery Complete (Still need to do a few skin tone match edits) Scroll down for the female ones.
https://t.co/N9pMtVN5xT

Information &amp; links to purchase.
 https://t.co/2NM7IdWMWe

Hosting a giveaway and token drop for the next 24 hours.
https://t.co/USRJRqXjbB

Dev log soon!",SpaceOkra,2,14,24,,
9,1513658689185533963,https://twitter.com/BuzokuNFT/status/1513658689185533963,2022-04-11 23:22:08+00:00,"Crafted from the corpse of a forgotten Shiyokia.
Interestingly, his skin tone has changed and he has adopted the devilish green eyes.

Where do you think his allegiance lies now?

#NFTCommunity #NFT #NFTs #NFTCollection #NFTDrop #NFTProject #Metaverse #NFTArt #AnimeNFT https://t.co/QKSp8DkqKh",BuzokuNFT,8,15,34,,
