,id,url,date,content,username,replyCount,retweetCount,likeCount,retweetedTweet,mentionedUsers
0,1521539519727685634,https://twitter.com/NFTethics/status/1521539519727685634,2022-05-03 17:17:44+00:00,@Pauly0x @manifoldxyz @a16z https://t.co/BGRJq8dfzZ,NFTethics,3,1,5,,"[User(username='Pauly0x', id=764250609402777600, displayname='PAULY.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='manifoldxyz', id=1376640140429303810, displayname='manifold.xyz (マ,マ)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='a16z', id=64844802, displayname='a16z', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,1521511795399217153,https://twitter.com/NFTethics/status/1521511795399217153,2022-05-03 15:27:35+00:00,"3/ It turns our Murtaza Akbar is from the UAE, but who is ""Nural Capital""? It's a fund just started by Rabia Iqbal (and backed by Kenetic) who used to work for Dubai's sovereign wealth fund Mubadala, an investor in SoftBank's Vision Fund, which also invests in Animoca Brands. https://t.co/YtwFkvqYUK",NFTethics,4,3,36,,
2,1521511787853713409,https://twitter.com/NFTethics/status/1521511787853713409,2022-05-03 15:27:33+00:00,"2/ Liberty City also led the funding round for Animoca Brands, but they were also leading the funding round of a controversial Facial Recognition Firm called Clearview AI (not very Web3!). The elusive founder of Liberty City, Murtaza Akbar, is even on the board. https://t.co/KuD0Dbpfgg",NFTethics,1,3,39,,
3,1521511780790509577,https://twitter.com/NFTethics/status/1521511780790509577,2022-05-03 15:27:31+00:00,"1/ One more on Yuga Labs. So Dean Steinbeck is 1 of the 5 ApeCoin council members, part of Horizen Labs. Horizen Labs is funded by Kenetic Capital (together with ""Nural"" also a Yuga Labs investor) and Liberty City. Though not obvious, these funds are strongly tied to the UAE. https://t.co/3LR5psMegW",NFTethics,17,36,166,,
4,1521495182151143425,https://twitter.com/NFTethics/status/1521495182151143425,2022-05-03 14:21:34+00:00,"Improbable is the company creating Yuga Labs metaverse. They have contracts with the US &amp; UK army, and at the same time received a lot of funding from Saudi Arabia &amp; UAE (via SoftBank's Vision Fund), both large arms importers. They also made $150m loss and a16z is on their board. https://t.co/7ClnmpaCcK",NFTethics,70,109,496,,
5,1521486627905941506,https://twitter.com/NFTethics/status/1521486627905941506,2022-05-03 13:47:34+00:00,"If you wonder why there are some issues with ""Yuga Labs' T&amp;Cs"", please note that Animoca Brands was delisted from the Australian Stock Exchange for a large number of governance, personnel &amp; compliance issues. Recently they lost their F1 license and had to shut F1 Time Delta down. https://t.co/it0zwXXJwX",NFTethics,9,28,149,,
6,1521478889515761664,https://twitter.com/NFTethics/status/1521478889515761664,2022-05-03 13:16:49+00:00,"""This morning one of our traders made an error when inputting a transaction"", Citigroup said in an email statement.
A ""fat finger"" wiping out 300 billion euros at one point. Best to close your NFT marketplace tab when also trading stocks at the same time.

https://t.co/xtISaugV7D https://t.co/wZ7NPRDrud",NFTethics,7,8,47,,
7,1521465339812401155,https://twitter.com/NFTethics/status/1521465339812401155,2022-05-03 12:22:59+00:00,"We wonder when Sam Bankman-Fried is going to change the last 2 vowels in his surname with 2 other ones that better reflect his MO. The fact that he dresses the way he does is probably a subtle reference to Andersen’s fairytale ""The Emperor's New Clothes"".
https://t.co/0DmqONFxeS",NFTethics,2,3,30,,
8,1521425708609945607,https://twitter.com/NFTethics/status/1521425708609945607,2022-05-03 09:45:30+00:00,"@Katara_NFT Initially we thought that as well, but we received some DMs from people that mentioned wallets with many Otherdeeds and we checked these connections. It seems legit as also confirmed by @zachxbt.
https://t.co/mjtX9cT8sP https://t.co/ZVnzGCMAzX",NFTethics,1,0,20,,"[User(username='Katara_NFT', id=1440012309095763970, displayname='Katara 🔑', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zachxbt', id=3012852462, displayname='ZachXBT', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,1521419152916889602,https://twitter.com/NFTethics/status/1521419152916889602,2022-05-03 09:19:27+00:00,"3/ This (former) ""Trailer Park Kid"" seems to love it all. His background is quite similar to many ""Web3 influencers"". The best ""Tinder/Twitter swindlers"" across the globe have united and they are all active in crypto/NFTs. They have all it takes to make it in this space. WAGMI! https://t.co/LM39p887uS",NFTethics,3,2,35,,
