punk_id,type,gender,skin_tone,attr_count,img_url,avg_price,category,bubble_color
1,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk1.png,31.0,Human Male,#A4031F
14,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk14.png,1.75,Human Female,#A4031F
53,Human,Female,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk53.png,57.330000000000005,Human Female,#F2A359
89,Human,Female,Dark,1,https://www.larvalabs.com/cryptopunks/cryptopunk89.png,19.99,Human Female,#A4031F
116,Human,Female,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk116.png,1.7999999999999998,Human Female,#A4031F
118,Human,Female,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk118.png,20.35,Human Female,#F2A359
124,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk124.png,17.3,Human Male,#DB9065
138,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk138.png,32.435,Human Male,#F2A359
139,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk139.png,51.2175,Human Male,#DB9065
141,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk141.png,39.5,Human Male,#A4031F
143,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk143.png,165.0,Human Male,#F2A359
150,Human,Female,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk150.png,133.495,Human Female,#DB9065
155,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk155.png,12.0,Human Male,#A4031F
160,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk160.png,41.0,Human Female,#DB9065
161,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk161.png,62.89333333333334,Human Female,#A4031F
168,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk168.png,25.0,Human Female,#F2A359
169,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk169.png,35.99666666666667,Human Female,#DB9065
173,Human,Female,Dark,5,https://www.larvalabs.com/cryptopunks/cryptopunk173.png,74.95,Human Female,#A4031F
186,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk186.png,21.5,Human Male,#A4031F
195,Human,Female,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk195.png,16.0,Human Female,#F2A359
197,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk197.png,39.8,Human Male,#A4031F
203,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk203.png,100.962,Human Male,#F2A359
211,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk211.png,63.15,Human Male,#A4031F
229,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk229.png,122.475,Human Male,#F2A359
234,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk234.png,24.99,Human Male,#F2A359
239,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk239.png,22.925,Human Male,#A4031F
240,Human,Female,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk240.png,41.5,Human Female,#DB9065
