tx_id,date,price,bubble_size,bubble_color,from,to,punk_id,img_url
0,2017-06-23 21:06:32,0.01,3,#DB9065,4056,459,3134,https://www.larvalabs.com/cryptopunks/cryptopunk3134.png
1,2017-06-23 21:06:45,0.04,3,#DB9065,4056,4600,5719,https://www.larvalabs.com/cryptopunks/cryptopunk5719.png
2,2017-06-23 21:06:53,0.1,4,#F2DC5D,459,2855,5056,https://www.larvalabs.com/cryptopunks/cryptopunk5056.png
3,2017-06-23 22:06:08,0.06,3,#F2A359,4056,4600,5624,https://www.larvalabs.com/cryptopunks/cryptopunk5624.png
4,2017-06-23 22:06:12,0.03,4,#F2DC5D,4056,4600,6548,https://www.larvalabs.com/cryptopunks/cryptopunk6548.png
5,2017-06-23 22:06:12,0.2,5,#F2DC5D,4056,5428,5545,https://www.larvalabs.com/cryptopunks/cryptopunk5545.png
6,2017-06-23 22:06:13,0.06,3,#A4031F,4056,4600,4025,https://www.larvalabs.com/cryptopunks/cryptopunk4025.png
7,2017-06-23 22:06:22,0.116,4,#F2A359,4056,4600,8781,https://www.larvalabs.com/cryptopunks/cryptopunk8781.png
8,2017-06-23 22:06:28,0.131,3,#F2DC5D,4056,5428,8878,https://www.larvalabs.com/cryptopunks/cryptopunk8878.png
9,2017-06-23 22:06:44,0.09,3,#DB9065,4056,3999,6934,https://www.larvalabs.com/cryptopunks/cryptopunk6934.png
10,2017-06-23 22:06:53,0.03,3,#DB9065,4056,4600,5621,https://www.larvalabs.com/cryptopunks/cryptopunk5621.png
11,2017-06-23 22:06:58,0.06,2,#DB9065,4056,4600,6208,https://www.larvalabs.com/cryptopunks/cryptopunk6208.png
12,2017-06-23 23:06:04,0.25,3,#A4031F,4056,5428,1841,https://www.larvalabs.com/cryptopunks/cryptopunk1841.png
13,2017-06-23 23:06:08,0.107,4,#F2A359,4056,730,6318,https://www.larvalabs.com/cryptopunks/cryptopunk6318.png
14,2017-06-23 23:06:25,0.3,2,#DB9065,4056,3999,5916,https://www.larvalabs.com/cryptopunks/cryptopunk5916.png
15,2017-06-23 23:06:47,0.2,3,#F2A359,4056,730,4641,https://www.larvalabs.com/cryptopunks/cryptopunk4641.png
16,2017-06-23 23:06:56,0.3,3,#A4031F,4056,5428,5633,https://www.larvalabs.com/cryptopunks/cryptopunk5633.png
17,2017-06-24 01:06:01,0.3,3,#A4031F,4056,5542,4148,https://www.larvalabs.com/cryptopunks/cryptopunk4148.png
18,2017-06-24 01:06:01,0.3,3,#F2A359,4056,3999,1416,https://www.larvalabs.com/cryptopunks/cryptopunk1416.png
19,2017-06-24 01:06:38,0.001,2,#DB9065,1220,3999,9926,https://www.larvalabs.com/cryptopunks/cryptopunk9926.png
20,2017-06-24 02:06:08,0.36,2,#F2A359,4056,5542,5921,https://www.larvalabs.com/cryptopunks/cryptopunk5921.png
21,2017-06-24 02:06:48,0.35,2,#F2A359,4056,3999,4445,https://www.larvalabs.com/cryptopunks/cryptopunk4445.png
22,2017-06-24 10:06:15,0.5,3,#DB9065,835,5483,5138,https://www.larvalabs.com/cryptopunks/cryptopunk5138.png
23,2017-06-24 16:06:04,0.15,4,#F2DC5D,5175,4056,9963,https://www.larvalabs.com/cryptopunks/cryptopunk9963.png
24,2017-06-24 16:06:11,2e-10,3,#A4031F,1725,2003,1376,https://www.larvalabs.com/cryptopunks/cryptopunk1376.png
25,2017-06-24 16:06:25,0.1,3,#DB9065,1725,4056,4842,https://www.larvalabs.com/cryptopunks/cryptopunk4842.png
26,2017-06-24 16:06:26,0.23,3,#A4031F,2855,4056,3507,https://www.larvalabs.com/cryptopunks/cryptopunk3507.png
27,2017-06-24 16:06:35,0.2,2,#F2A359,1725,4056,4509,https://www.larvalabs.com/cryptopunks/cryptopunk4509.png
28,2017-06-24 16:06:46,2e-10,2,#DB9065,1725,730,1657,https://www.larvalabs.com/cryptopunks/cryptopunk1657.png
29,2017-06-24 17:06:04,0.15,3,#F2A359,5175,4056,9131,https://www.larvalabs.com/cryptopunks/cryptopunk9131.png
30,2017-06-24 17:06:04,0.15,1,#F2A359,5175,4056,1216,https://www.larvalabs.com/cryptopunks/cryptopunk1216.png
31,2017-06-24 21:06:27,0.15,3,#F2A359,5175,2855,5167,https://www.larvalabs.com/cryptopunks/cryptopunk5167.png
32,2017-06-24 22:06:13,0.3,3,#F2A359,1725,5483,8142,https://www.larvalabs.com/cryptopunks/cryptopunk8142.png
33,2017-06-24 22:06:52,0.335,0,#DB9065,5812,5304,1050,https://www.larvalabs.com/cryptopunks/cryptopunk1050.png
34,2017-06-25 04:06:02,0.135,3,#F2A359,2836,2343,9439,https://www.larvalabs.com/cryptopunks/cryptopunk9439.png
35,2017-06-25 05:06:09,0.1,2,#A4031F,3808,2343,2997,https://www.larvalabs.com/cryptopunks/cryptopunk2997.png
36,2017-06-25 05:06:53,0.15,2,#DB9065,1101,3999,3614,https://www.larvalabs.com/cryptopunks/cryptopunk3614.png
37,2017-06-25 05:06:53,0.2117401785132582,3,#F2A359,1101,2836,2789,https://www.larvalabs.com/cryptopunks/cryptopunk2789.png
38,2017-06-25 06:06:05,0.1,3,#DB9065,3808,3999,4468,https://www.larvalabs.com/cryptopunks/cryptopunk4468.png
39,2017-06-25 06:06:06,0.1,3,#F2A359,3808,3999,6315,https://www.larvalabs.com/cryptopunks/cryptopunk6315.png
40,2017-06-25 06:06:27,0.1,3,#A4031F,3808,3999,6140,https://www.larvalabs.com/cryptopunks/cryptopunk6140.png
41,2017-06-25 07:06:24,0.2,3,#DB9065,3999,3617,4468,https://www.larvalabs.com/cryptopunks/cryptopunk4468.png
42,2017-06-25 08:06:04,0.1,4,#DB9065,3808,3019,8037,https://www.larvalabs.com/cryptopunks/cryptopunk8037.png
43,2017-06-25 09:06:27,0.15,2,#F2A359,2836,3019,1036,https://www.larvalabs.com/cryptopunks/cryptopunk1036.png
44,2017-06-25 09:06:44,0.2,3,#F2A359,3999,3019,6315,https://www.larvalabs.com/cryptopunks/cryptopunk6315.png
45,2017-06-25 19:06:56,0.2,3,#A4031F,3808,4150,2614,https://www.larvalabs.com/cryptopunks/cryptopunk2614.png
46,2017-06-26 08:06:26,0.18,2,#F2A359,2170,3019,5141,https://www.larvalabs.com/cryptopunks/cryptopunk5141.png
47,2017-06-26 14:06:25,0.2,2,#DB9065,3808,2605,5715,https://www.larvalabs.com/cryptopunks/cryptopunk5715.png
48,2017-06-26 18:06:43,1e-06,3,#F2A359,1917,4600,5104,https://www.larvalabs.com/cryptopunks/cryptopunk5104.png
49,2017-06-26 21:06:25,0.3,2,#A4031F,4221,2590,2883,https://www.larvalabs.com/cryptopunks/cryptopunk2883.png
50,2017-06-26 22:06:15,0.14,3,#F2A359,2836,4600,1054,https://www.larvalabs.com/cryptopunks/cryptopunk1054.png
51,2017-06-27 00:06:33,0.2,1,#DB9065,3808,1973,9874,https://www.larvalabs.com/cryptopunks/cryptopunk9874.png
52,2017-06-27 01:06:03,0.3,3,#F2DC5D,3808,1404,6687,https://www.larvalabs.com/cryptopunks/cryptopunk6687.png
53,2017-06-27 01:06:13,0.2,3,#A4031F,1910,1404,6549,https://www.larvalabs.com/cryptopunks/cryptopunk6549.png
54,2017-06-27 01:06:26,0.5,3,#DB9065,835,1404,8521,https://www.larvalabs.com/cryptopunks/cryptopunk8521.png
55,2017-06-27 01:06:35,0.29,2,#A4031F,5178,1404,7735,https://www.larvalabs.com/cryptopunks/cryptopunk7735.png
56,2017-06-27 11:06:04,0.25,3,#F2A359,5175,3192,7223,https://www.larvalabs.com/cryptopunks/cryptopunk7223.png
57,2017-06-27 11:06:12,0.2,4,#A4031F,3808,3192,7197,https://www.larvalabs.com/cryptopunks/cryptopunk7197.png
58,2017-06-27 11:06:29,0.3,3,#F2A359,4056,3192,4547,https://www.larvalabs.com/cryptopunks/cryptopunk4547.png
59,2017-06-27 11:06:35,0.25,3,#F2A359,3291,3192,8517,https://www.larvalabs.com/cryptopunks/cryptopunk8517.png
60,2017-06-27 13:06:02,1e-18,3,#F2A359,4191,4600,1784,https://www.larvalabs.com/cryptopunks/cryptopunk1784.png
61,2017-06-27 14:06:39,0.15,3,#A4031F,3853,4600,1257,https://www.larvalabs.com/cryptopunks/cryptopunk1257.png
62,2017-06-27 15:06:11,1.0,4,#F2A359,685,2590,1802,https://www.larvalabs.com/cryptopunks/cryptopunk1802.png
63,2017-06-27 15:06:15,0.25,2,#A4031F,5175,2590,7982,https://www.larvalabs.com/cryptopunks/cryptopunk7982.png
64,2017-06-27 15:06:24,0.15,2,#F2A359,3853,2590,1146,https://www.larvalabs.com/cryptopunks/cryptopunk1146.png
65,2017-06-27 15:06:54,1.0,3,#DB9065,1902,2590,4379,https://www.larvalabs.com/cryptopunks/cryptopunk4379.png
66,2017-06-27 16:06:18,0.3,5,#A4031F,4056,4600,4971,https://www.larvalabs.com/cryptopunks/cryptopunk4971.png
67,2017-06-27 16:06:32,0.3,1,#A4031F,459,4600,861,https://www.larvalabs.com/cryptopunks/cryptopunk861.png
68,2017-06-27 19:06:14,0.15,2,#F2A359,3853,4056,3530,https://www.larvalabs.com/cryptopunks/cryptopunk3530.png
69,2017-06-27 19:06:16,0.15,3,#F2DC5D,3853,4056,3544,https://www.larvalabs.com/cryptopunks/cryptopunk3544.png
70,2017-06-27 19:06:51,0.15,3,#A4031F,3853,4056,1160,https://www.larvalabs.com/cryptopunks/cryptopunk1160.png
71,2017-06-27 21:06:53,0.1,3,#A4031F,264,4056,6642,https://www.larvalabs.com/cryptopunks/cryptopunk6642.png
72,2017-06-27 22:06:22,0.1,3,#F2A359,264,4056,2624,https://www.larvalabs.com/cryptopunks/cryptopunk2624.png
73,2017-06-27 23:06:58,0.1530378842030021,3,#F2A359,4056,2836,2624,https://www.larvalabs.com/cryptopunks/cryptopunk2624.png
74,2017-06-28 03:06:04,0.1009394721744119,3,#F2A359,5175,2836,8523,https://www.larvalabs.com/cryptopunks/cryptopunk8523.png
75,2017-06-28 04:06:06,0.03,3,#A4031F,560,4056,9571,https://www.larvalabs.com/cryptopunks/cryptopunk9571.png
76,2017-06-28 04:06:28,0.05,2,#F2A359,560,4056,5880,https://www.larvalabs.com/cryptopunks/cryptopunk5880.png
77,2017-06-28 04:06:31,0.05,3,#DB9065,560,4056,3226,https://www.larvalabs.com/cryptopunks/cryptopunk3226.png
78,2017-06-28 11:06:20,0.1,2,#F2A359,5175,4600,8527,https://www.larvalabs.com/cryptopunks/cryptopunk8527.png
